=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.08 16:54:19 =~=~=~=~=~=~=~=~=~=~=~=					
"time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)"			AM Clear PETG		Stock Clear PETG
3.2	2	4.86	293.26	386.43	371.46
3.4	2	4.86	283.48	386.43	361.68
3.6	2	4.86	293.26	386.43	361.68
3.8	2	4.86	312.81	386.43	351.91
4	2	4.86	303.03	386.43	332.36
4.2	1.99	4.86	303.03	385.53	342.13
4.4	2	4.86	303.03	386.43	351.91
4.6	2.01	4.86	303.03	387.33	332.36
4.8	2	4.86	312.81	386.43	361.68
5	1.99	4.86	332.36	385.53	381.23
5.2	1.99	4.86	322.58	385.53	381.23
5.4	2	4.86	312.81	386.43	381.23
5.6	2	4.86	332.36	386.43	400.78
5.8	2	4.86	303.03	386.43	430.11
6	2	4.86	303.03	386.43	449.66
6.2	1.99	4.86	322.58	385.53	459.43
6.4	2	4.76	332.36	390.8	459.43
6.6	2	4.76	312.81	390.8	449.66
6.8	2	4.76	332.36	390.8	449.66
7	2	4.76	303.03	390.8	478.98
7.2	1.99	4.76	293.26	389.89	459.43
7.4	2	4.76	263.93	390.8	469.21
7.6	2	4.76	224.83	390.8	459.43
7.8	1.99	4.76	244.38	389.89	449.66
8	2	4.76	234.6	390.8	459.43
8.2	1.99	4.76	234.6	389.89	449.66
8.4	2	4.76	234.6	390.8	478.98
8.6	2.01	4.76	215.05	391.7	459.43
8.8	2	4.76	224.83	390.8	449.66
9	2	4.76	215.05	390.8	439.88
9.2	2	4.76	175.95	390.8	410.56
9.4	2	4.76	185.73	390.8	400.78
9.6	1.99	4.65	185.73	394.39	391.01
9.8	2	4.65	166.18	395.31	391.01
10	1.99	4.65	175.95	394.39	391.01
10.2	2	4.65	185.73	395.31	371.46
10.4	2.01	4.65	166.18	396.23	381.23
10.6	1.99	4.65	166.18	394.39	351.91
10.8	2	4.65	175.95	395.31	351.91
11	2	4.65	185.73	395.31	351.91
11.2	1.99	4.65	185.73	394.39	361.68
11.4	1.99	4.65	166.18	394.39	351.91
11.6	1.99	4.65	175.95	394.39	351.91
11.8	2	4.65	166.18	395.31	351.91
12	2	4.54	175.95	399.99	351.91
12.2	1.99	4.54	175.95	399.06	342.13
12.4	1.99	4.54	156.4	399.06	342.13
12.6	2	4.54	185.73	399.99	332.36
12.8	2	4.54	175.95	399.99	332.36
13	2.01	4.54	166.18	400.92	351.91
13.2	2	4.54	175.95	399.99	361.68
13.4	2	4.54	175.95	399.99	361.68
13.6	1.99	4.54	185.73	399.06	361.68
13.8	1.99	4.54	195.5	399.06	351.91
14	2	4.43	195.5	404.84	361.68
14.2	2	4.43	205.28	404.84	351.91
14.4	2	4.43	205.28	404.84	351.91
14.6	2	4.43	195.5	404.84	371.46
14.8	2	4.43	205.28	404.84	381.23
15	2	4.43	175.95	404.84	391.01
15.2	2	4.43	195.5	404.84	391.01
15.4	2	4.43	195.5	404.84	381.23
15.6	2	4.43	156.4	404.84	391.01
15.8	2	4.32	195.5	409.87	400.78
16	1.99	4.32	195.5	408.92	410.56
16.2	2	4.32	195.5	409.87	400.78
16.4	1.99	4.32	224.83	408.92	371.46
16.6	2	4.32	224.83	409.87	361.68
16.8	2	4.32	195.5	409.87	361.68
17	2	4.32	195.5	409.87	351.91
17.2	2.01	4.32	185.73	410.82	361.68
17.4	2	4.22	195.5	415.09	361.68
17.6	2	4.22	195.5	415.09	361.68
17.8	2	4.22	215.05	415.09	351.91
18	1.99	4.22	224.83	414.12	332.36
18.2	2	4.22	195.5	415.09	342.13
18.4	2	4.22	195.5	415.09	342.13
18.6	2	4.22	224.83	415.09	342.13
18.8	2.01	4.22	234.6	416.06	361.68
19	2	4.22	273.7	415.09	361.68
19.2	2	4.11	244.38	420.52	361.68
19.4	1.99	4.11	215.05	419.54	351.91
19.6	1.99	4.11	224.83	419.54	342.13
19.8	2.01	4.11	215.05	421.49	342.13
20	2.01	4.11	215.05	421.49	371.46
20.2	2	4.11	205.28	420.52	371.46
20.4	2.01	4.11	195.5	421.49	361.68
20.6	2	4.11	185.73	420.52	361.68
20.8	2	4.11	195.5	420.52	351.91
21	2	4	215.05	426.16	351.91
21.2	2	4	195.5	426.16	351.91
21.4	2	4	195.5	426.16	361.68
21.6	1.99	4	224.83	425.17	381.23
21.8	2	4	215.05	426.16	400.78
22	2	4	205.28	426.16	400.78
22.2	2	4	205.28	426.16	391.01
22.4	2.01	4	205.28	427.15	391.01
22.6	1.99	4	224.83	425.17	391.01
22.8	2	4	215.05	426.16	381.23
23	2	3.89	234.6	432.04	361.68
23.2	1.99	3.89	254.15	431.03	361.68
23.4	1.99	3.89	224.83	431.03	332.36
23.6	1.99	3.89	244.38	431.03	342.13
23.8	2	3.89	234.6	432.04	361.68
24	2	3.89	254.15	432.04	361.68
24.2	1.99	3.89	273.7	431.03	361.68
24.4	2	3.89	224.83	432.04	371.46
24.6	2	3.89	215.05	432.04	361.68
24.8	1.99	3.89	224.83	431.03	351.91
25	2	3.78	234.6	438.17	351.91
25.2	2.01	3.78	215.05	439.19	351.91
25.4	2.01	3.78	215.05	439.19	351.91
25.6	2.01	3.78	215.05	439.19	351.91
25.8	1.99	3.78	224.83	437.15	342.13
26	2	3.78	234.6	438.17	351.91
26.2	2	3.78	224.83	438.17	332.36
26.4	1.99	3.78	234.6	437.15	342.13
26.6	2	3.78	234.6	438.17	342.13
26.8	2	3.78	244.38	438.17	351.91
27	1.99	3.68	244.38	443.53	332.36
27.2	1.99	3.68	273.7	443.53	371.46
27.4	2	3.68	263.93	444.57	371.46
27.6	1.99	3.68	263.93	443.53	381.23
27.8	2	3.68	244.38	444.57	361.68
28	1.99	3.68	263.93	443.53	371.46
28.2	2	3.68	234.6	444.57	371.46
28.4	2.01	3.68	205.28	445.6	361.68
28.6	1.99	3.68	205.28	443.53	361.68
28.8	2	3.68	205.28	444.57	361.68
29	2	3.68	205.28	444.57	351.91
29.2	2	3.57	215.05	451.25	332.36
29.4	2	3.57	215.05	451.25	332.36
29.6	2	3.57	195.5	451.25	332.36
29.8	2	3.57	195.5	451.25	332.36
30	2	3.57	215.05	451.25	342.13
30.2	2.01	3.57	205.28	452.3	361.68
30.4	2	3.57	195.5	451.25	351.91
30.6	2	3.57	215.05	451.25	342.13
30.8	1.99	3.57	215.05	450.2	351.91
31	2	3.57	205.28	451.25	332.36
31.2	2	3.57	205.28	451.25	332.36
31.4	2	3.46	205.28	458.25	351.91
31.6	2	3.46	224.83	458.25	342.13
31.8	2	3.46	224.83	458.25	342.13
32	2	3.46	215.05	458.25	332.36
32.2	2	3.46	205.28	458.25	342.13
32.4	2	3.46	205.28	458.25	351.91
32.6	2	3.46	224.83	458.25	371.46
32.8	1.99	3.46	224.83	457.18	371.46
33	1.99	3.46	224.83	457.18	361.68
33.2	2	3.46	205.28	458.25	351.91
33.4	1.99	3.35	224.83	464.5	371.46
33.6	2	3.35	215.05	465.58	351.91
33.8	2	3.35	205.28	465.58	381.23
34	1.99	3.35	215.05	464.5	381.23
34.2	2	3.35	215.05	465.58	381.23
34.4	2.01	3.35	224.83	466.66	371.46
34.6	1.99	3.35	234.6	464.5	351.91
34.8	2	3.35	224.83	465.58	342.13
35	1.98	3.35	293.26	463.41	342.13
35.2	2	3.35	312.81	465.58	342.13
35.4	2	3.35	322.58	465.58	342.13
35.6	1.99	3.24	303.03	472.17	351.91
35.8	2	3.24	273.7	473.28	332.36
36	2	3.24	263.93	473.28	351.91
36.2	2	3.24	273.7	473.28	342.13
36.4	2	3.24	273.7	473.28	342.13
36.6	2	3.24	273.7	473.28	361.68
36.8	2	3.24	273.7	473.28	351.91
37	2	3.24	283.48	473.28	342.13
37.2	2	3.24	283.48	473.28	342.13
37.4	1.99	3.24	254.15	472.17	342.13
37.6	2	3.24	263.93	473.28	332.36
37.8	2	3.14	263.93	481.37	351.91
38	2.01	3.14	273.7	482.49	351.91
38.2	2	3.14	283.48	481.37	332.36
38.4	2	3.14	283.48	481.37	351.91
38.6	2	3.14	303.03	481.37	361.68
38.8	2	3.14	273.7	481.37	361.68
39	2	3.14	263.93	481.37	351.91
39.2	1.99	3.14	263.93	480.25	371.46
39.4	1.99	3.14	244.38	480.25	381.23
39.6	2	3.14	254.15	481.37	381.23
39.8	1.99	3.14	263.93	480.25	371.46
40	2	3.14	234.6	481.37	361.68
40.2	2	3.14	263.93	481.37	332.36
40.4	1.99	3.03	263.93	488.75	322.58
40.6	2	3.03	273.7	489.89	322.58
40.8	1.99	3.03	254.15	488.75	342.13
41	2	3.03	234.6	489.89	342.13
41.2	2	3.03	263.93	489.89	342.13
41.4	1.98	3.03	263.93	487.6	332.36
41.6	2	3.03	254.15	489.89	342.13
41.8	2	3.03	273.7	489.89	332.36
42	2	3.03	273.7	489.89	351.91
42.2	2	3.03	303.03	489.89	361.68
42.4	2	3.03	303.03	489.89	342.13
42.6	2	3.03	263.93	489.89	361.68
42.8	2	3.03	254.15	489.89	332.36
43	1.99	3.03	244.38	488.75	332.36
43.2	2	3.03	215.05	489.89	332.36
43.4	1.99	2.92	244.38	497.72	312.81
43.6	2	2.92	215.05	498.88	332.36
43.8	2	2.92	224.83	498.88	322.58
44	1.99	2.92	254.15	497.72	312.81
44.2	2	2.92	254.15	498.88	332.36
44.4	2	2.92	234.6	498.88	322.58
44.6	2	2.92	254.15	498.88	342.13
44.8	2.01	2.92	254.15	500.04	322.58
45	1.99	2.92	263.93	497.72	342.13
45.2	2	2.92	254.15	498.88	351.91
45.4	2	2.92	273.7	498.88	342.13
45.6	1.99	2.92	303.03	497.72	332.36
45.8	2	2.92	293.26	498.88	332.36
46	2	2.92	283.48	498.88	342.13
46.2	1.99	2.81	303.03	507.2	351.91
46.4	2	2.81	283.48	508.38	351.91
46.6	2.01	2.81	312.81	509.56	351.91
46.8	2	2.81	312.81	508.38	332.36
47	2	2.81	283.48	508.38	332.36
47.2	1.99	2.81	293.26	507.2	332.36
47.4	2	2.81	263.93	508.38	322.58
47.6	1.99	2.81	273.7	507.2	342.13
47.8	1.99	2.81	283.48	507.2	322.58
48	2.01	2.81	263.93	509.56	351.91
48.2	2	2.81	273.7	508.38	342.13
48.4	1.99	2.81	273.7	507.2	371.46
48.6	2	2.81	263.93	508.38	361.68
48.8	1.99	2.81	273.7	507.2	351.91
49	1.99	2.7	254.15	517.24	351.91
49.2	1.99	2.7	273.7	517.24	351.91
49.4	2	2.7	263.93	518.45	342.13
49.6	2	2.7	234.6	518.45	322.58
49.8	1.99	2.7	263.93	517.24	322.58
50	2	2.7	244.38	518.45	312.81
50.2	2	2.7	244.38	518.45	342.13
50.4	1.99	2.7	273.7	517.24	332.36
50.6	2	2.7	283.48	518.45	312.81
50.8	2.01	2.7	273.7	519.65	322.58
51	2.01	2.7	273.7	519.65	322.58
51.2	2	2.7	283.48	518.45	312.81
51.4	1.99	2.7	303.03	517.24	312.81
51.6	2.01	2.7	303.03	519.65	312.81
51.8	2	2.7	312.81	518.45	332.36
52	1.99	2.59	312.81	527.91	332.36
52.2	2	2.59	303.03	529.14	322.58
52.4	2	2.59	303.03	529.14	312.81
52.6	2	2.59	312.81	529.14	312.81
52.8	2	2.59	283.48	529.14	322.58
53	2	2.59	303.03	529.14	312.81
53.2	2	2.59	273.7	529.14	312.81
53.4	2	2.59	273.7	529.14	303.03
53.6	1.99	2.59	273.7	527.91	303.03
53.8	1.99	2.59	254.15	527.91	303.03
54	1.99	2.59	263.93	527.91	303.03
54.2	1.98	2.59	283.48	526.67	293.26
54.4	2	2.59	273.7	529.14	312.81
54.6	1.99	2.59	293.26	527.91	322.58
54.8	2	2.59	283.48	529.14	342.13
55	2.01	2.59	283.48	530.37	332.36
55.2	2.01	2.59	283.48	530.37	332.36
55.4	1.99	2.49	263.93	539.26	342.13
55.6	1.99	2.49	273.7	539.26	342.13
55.8	1.99	2.49	273.7	539.26	312.81
56	2.01	2.49	234.6	541.78	322.58
56.2	2	2.49	273.7	540.52	332.36
56.4	1.99	2.49	263.93	539.26	332.36
56.6	2	2.49	273.7	540.52	332.36
56.8	1.99	2.49	273.7	539.26	332.36
57	2	2.49	293.26	540.52	322.58
57.2	2	2.49	273.7	540.52	312.81
57.4	2.01	2.49	273.7	541.78	332.36
57.6	2	2.49	303.03	540.52	342.13
57.8	1.99	2.49	293.26	539.26	322.58
58	2	2.49	273.7	540.52	322.58
58.2	2.01	2.49	283.48	541.78	322.58
58.4	1.99	2.49	283.48	539.26	322.58
58.6	2	2.38	273.7	552.67	332.36
58.8	2	2.38	303.03	552.67	312.81
59	1.99	2.38	283.48	551.38	322.58
59.2	2	2.38	273.7	552.67	332.36
59.4	2	2.38	293.26	552.67	312.81
59.6	2	2.38	283.48	552.67	322.58
59.8	1.99	2.38	263.93	551.38	322.58
60	1.99	2.38	273.7	551.38	322.58
60.2	2	2.38	254.15	552.67	322.58
60.4	2	2.38	283.48	552.67	312.81
60.6	1.99	2.38	303.03	551.38	312.81
60.8	2	2.38	283.48	552.67	312.81
61	2	2.38	303.03	552.67	303.03
61.2	1.99	2.38	312.81	551.38	332.36
61.4	2	2.38	283.48	552.67	332.36
61.6	2	2.38	283.48	552.67	342.13
61.8	2	2.38	312.81	552.67	342.13
62	2	2.27	303.03	565.67	351.91
62.2	2.01	2.27	322.58	566.99	342.13
62.4	2	2.27	312.81	565.67	351.91
62.6	2	2.27	303.03	565.67	351.91
62.8	2	2.27	303.03	565.67	342.13
63	2	2.27	283.48	565.67	342.13
63.2	2	2.27	293.26	565.67	351.91
63.4	1.99	2.27	303.03	564.36	322.58
63.6	2	2.27	283.48	565.67	342.13
63.8	2	2.27	293.26	565.67	342.13
64	1.99	2.27	283.48	564.36	342.13
64.2	2	2.27	293.26	565.67	351.91
64.4	2	2.27	303.03	565.67	351.91
64.6	1.99	2.27	293.26	564.36	342.13
64.8	2	2.27	293.26	565.67	361.68
65	2	2.27	322.58	565.67	342.13
65.2	2	2.27	332.36	565.67	342.13
65.4	2	2.16	312.81	579.64	351.91
65.6	2	2.16	322.58	579.64	361.68
65.8	1.99	2.16	322.58	578.29	381.23
66	2	2.16	342.13	579.64	361.68
66.2	2	2.16	332.36	579.64	361.68
66.4	2	2.16	312.81	579.64	361.68
66.6	2	2.16	322.58	579.64	351.91
66.8	2	2.16	322.58	579.64	351.91
67	1.99	2.16	303.03	578.29	351.91
67.2	2.01	2.16	312.81	580.99	361.68
67.4	1.99	2.16	322.58	578.29	371.46
67.6	2	2.16	312.81	579.64	371.46
67.8	1.99	2.16	312.81	578.29	381.23
68	2	2.16	312.81	579.64	371.46
68.2	2	2.16	322.58	579.64	371.46
68.4	1.99	2.16	312.81	578.29	391.01
68.6	1.99	2.16	293.26	578.29	381.23
68.8	1.99	2.16	303.03	578.29	391.01
69	2	2.16	312.81	579.64	400.78
69.2	2	2.16	312.81	579.64	410.56
69.4	1.99	2.16	322.58	578.29	400.78
69.6	2	2.16	293.26	579.64	391.01
69.8	2	2.05	293.26	594.7	410.56
70	1.98	2.05	312.81	591.93	420.33
70.2	2	2.05	322.58	594.7	449.66
70.4	2	2.05	322.58	594.7	459.43
70.6	1.99	2.05	312.81	593.32	469.21
70.8	2.01	2.05	322.58	596.08	478.98
71	1.99	2.05	322.58	593.32	449.66
71.2	1.99	2.05	322.58	593.32	430.11
71.4	2	2.05	312.81	594.7	410.56
71.6	1.99	2.05	332.36	593.32	410.56
71.8	1.99	2.05	322.58	593.32	420.33
72	2	2.05	322.58	594.7	420.33
72.2	1.99	2.05	322.58	593.32	439.88
72.4	2	2.05	303.03	594.7	430.11
72.6	2	2.05	303.03	594.7	430.11
72.8	1.99	2.05	312.81	593.32	459.43
73	2	2.05	303.03	594.7	469.21
73.2	1.99	2.05	312.81	593.32	459.43
73.4	1.98	2.05	322.58	591.93	449.66
73.6	2.01	2.05	342.13	596.08	439.88
73.8	2	2.05	332.36	594.7	430.11
74	2	2.05	312.81	594.7	420.33
74.2	2	2.05	322.58	594.7	420.33
74.4	2	2.05	312.81	594.7	420.33
74.6	2	2.05	332.36	594.7	400.78
74.8	2.01	2.05	332.36	596.08	400.78
75	2.01	1.95	312.81	612.42	391.01
75.2	2	1.95	303.03	611	391.01
75.4	2	1.95	322.58	611	391.01
75.6	2	1.95	322.58	611	420.33
75.8	2.01	1.95	322.58	612.42	400.78
76	2	1.95	312.81	611	420.33
76.2	2.01	1.95	332.36	612.42	420.33
76.4	1.99	1.95	351.91	609.57	430.11
76.6	2	1.95	332.36	611	459.43
76.8	1.99	1.95	351.91	609.57	469.21
77	2	1.95	332.36	611	469.21
77.2	1.99	1.95	351.91	609.57	459.43
77.4	1.98	1.95	342.13	608.15	459.43
77.6	2	1.95	312.81	611	459.43
77.8	2	1.95	332.36	611	478.98
78	2	1.95	312.81	611	469.21
78.2	2.01	1.95	322.58	612.42	449.66
78.4	2	1.95	342.13	611	478.98
78.6	2	1.95	351.91	611	469.21
78.8	1.99	1.95	342.13	609.57	488.76
79	2	1.95	332.36	611	478.98
79.2	2	1.95	361.68	611	459.43
79.4	1.99	1.95	332.36	609.57	420.33
79.6	2	1.95	332.36	611	430.11
79.8	1.99	1.95	361.68	609.57	439.88
80	2	1.95	322.58	611	439.88
80.2	1.99	1.95	342.13	609.57	459.43
80.4	1.99	1.95	351.91	609.57	459.43
80.6	2	1.95	371.46	611	449.66
80.8	1.99	1.95	361.68	609.57	439.88
81	1.99	1.84	332.36	627.25	449.66
81.2	1.99	1.84	351.91	627.25	430.11
81.4	1.99	1.84	351.91	627.25	430.11
81.6	1.99	1.84	361.68	627.25	430.11
81.8	2	1.84	371.46	628.71	449.66
82	2	1.84	361.68	628.71	439.88
82.2	1.99	1.84	371.46	627.25	439.88
82.4	2	1.84	342.13	628.71	449.66
82.6	2.01	1.84	342.13	630.17	459.43
82.8	2	1.84	361.68	628.71	439.88
83	2	1.84	351.91	628.71	439.88
83.2	2	1.84	342.13	628.71	449.66
83.4	2	1.84	332.36	628.71	449.66
83.6	1.99	1.84	351.91	627.25	420.33
83.8	2	1.84	351.91	628.71	420.33
84	2	1.84	312.81	628.71	420.33
84.2	1.99	1.84	332.36	627.25	420.33
84.4	2	1.84	332.36	628.71	420.33
84.6	2	1.84	332.36	628.71	420.33
84.8	1.99	1.84	342.13	627.25	400.78
85	2	1.84	332.36	628.71	371.46
85.2	1.99	1.84	322.58	627.25	351.91
85.4	2.01	1.84	322.58	630.17	322.58
85.6	2	1.84	342.13	628.71	322.58
85.8	1.99	1.84	351.91	627.25	332.36
86	2	1.84	342.13	628.71	332.36
86.2	2	1.84	351.91	628.71	312.81
86.4	2	1.84	342.13	628.71	312.81
86.6	2	1.84	332.36	628.71	322.58
86.8	1.99	1.84	342.13	627.25	312.81
87	2	1.84	322.58	628.71	332.36
87.2	2.01	1.84	351.91	630.17	342.13
87.4	2	1.84	332.36	628.71	351.91
87.6	2	1.84	332.36	628.71	342.13
87.8	2	1.84	342.13	628.71	361.68
88	2	1.84	312.81	628.71	361.68
88.2	1.99	1.84	322.58	627.25	342.13
88.4	1.99	1.84	332.36	627.25	342.13
88.6	2	1.84	322.58	628.71	332.36
88.8	1.99	1.84	342.13	627.25	371.46
89	2	1.84	312.81	628.71	371.46
89.2	2	1.84	342.13	628.71	351.91
89.4	2	1.73	312.81	648.06	351.91
89.6	2	1.73	322.58	648.06	351.91
89.8	1.99	1.73	322.58	646.55	342.13
90	2	1.73	322.58	648.06	332.36
90.2	1.99	1.73	351.91	646.55	332.36
90.4	1.99	1.73	351.91	646.55	351.91
90.6	2	1.73	332.36	648.06	361.68
90.8	1.99	1.73	322.58	646.55	371.46
91	2	1.73	303.03	648.06	361.68
91.2	2	1.73	322.58	648.06	361.68
91.4	2	1.73	322.58	648.06	391.01
91.6	2	1.73	332.36	648.06	400.78
91.8	1.99	1.73	342.13	646.55	391.01
92	2	1.73	342.13	648.06	400.78
92.2	1.99	1.73	371.46	646.55	400.78
92.4	1.99	1.73	351.91	646.55	391.01
92.6	2	1.73	361.68	648.06	391.01
92.8	1.99	1.73	371.46	646.55	391.01
93	2	1.73	342.13	648.06	391.01
93.2	2	1.73	371.46	648.06	391.01
93.4	2	1.73	371.46	648.06	410.56
93.6	2	1.73	381.23	648.06	410.56
93.8	1.99	1.73	381.23	646.55	381.23
94	2	1.73	371.46	648.06	361.68
94.2	1.99	1.73	381.23	646.55	371.46
94.4	1.99	1.73	381.23	646.55	371.46
94.6	1.99	1.73	391.01	646.55	351.91
94.8	1.99	1.73	381.23	646.55	371.46
95	2	1.73	371.46	648.06	371.46
95.2	2.01	1.73	361.68	649.57	381.23
95.4	1.99	1.73	381.23	646.55	381.23
95.6	1.99	1.73	391.01	646.55	391.01
95.8	2	1.73	361.68	648.06	381.23
96	1.99	1.73	381.23	646.55	391.01
96.2	1.99	1.73	371.46	646.55	391.01
96.4	2	1.73	391.01	648.06	351.91
96.6	2	1.73	371.46	648.06	391.01
96.8	2	1.73	361.68	648.06	351.91
97	1.99	1.73	371.46	646.55	322.58
97.2	2	1.73	342.13	648.06	322.58
97.4	2	1.73	371.46	648.06	322.58
97.6	2	1.73	351.91	648.06	312.81
97.8	1.99	1.73	351.91	646.55	303.03
98	1.99	1.73	342.13	646.55	303.03
98.2	2	1.73	342.13	648.06	293.26
98.4	1.99	1.73	351.91	646.55	312.81
98.6	2	1.73	342.13	648.06	322.58
98.8	2.01	1.73	361.68	649.57	322.58
99	2	1.62	371.46	669.31	322.58
99.2	2	1.62	381.23	669.31	322.58
99.4	2	1.62	381.23	669.31	332.36
99.6	2.01	1.62	361.68	670.87	332.36
99.8	1.99	1.62	391.01	667.76	342.13
100	1.99	1.62	361.68	667.76	322.58
100.2	1.99	1.62	381.23	667.76	303.03
100.4	1.99	1.62	381.23	667.76	293.26
100.6	2	1.62	361.68	669.31	303.03
100.8	1.99	1.62	381.23	667.76	293.26
101	2	1.62	381.23	669.31	273.7
101.2	2	1.62	400.78	669.31	273.7
101.4	2.01	1.62	381.23	670.87	293.26
101.6	1.99	1.62	381.23	667.76	293.26
101.8	1.98	1.62	381.23	666.19	283.48
102	1.99	1.62	371.46	667.76	283.48
102.2	2	1.62	381.23	669.31	293.26
102.4	2	1.62	391.01	669.31	293.26
102.6	1.99	1.62	371.46	667.76	312.81
102.8	1.99	1.62	400.78	667.76	312.81
103	2	1.62	400.78	669.31	322.58
103.2	2	1.62	400.78	669.31	312.81
103.4	2	1.62	391.01	669.31	322.58
103.6	2	1.62	391.01	669.31	332.36
103.8	2	1.62	410.56	669.31	312.81
104	2	1.62	391.01	669.31	293.26
104.2	2	1.62	410.56	669.31	293.26
104.4	2	1.62	420.33	669.31	303.03
104.6	2	1.62	400.78	669.31	303.03
104.8	1.99	1.62	420.33	667.76	332.36
105	2	1.62	400.78	669.31	322.58
105.2	2	1.62	391.01	669.31	322.58
105.4	2.01	1.62	371.46	670.87	322.58
105.6	2	1.62	381.23	669.31	322.58
105.8	2	1.62	381.23	669.31	312.81
106	2	1.62	361.68	669.31	303.03
106.2	1.99	1.62	381.23	667.76	312.81
106.4	1.99	1.62	391.01	667.76	332.36
106.6	2	1.62	410.56	669.31	303.03
106.8	1.99	1.62	410.56	667.76	303.03
107	2	1.62	410.56	669.31	322.58
107.2	2.01	1.62	400.78	670.87	303.03
107.4	2	1.62	391.01	669.31	312.81
107.6	2	1.62	410.56	669.31	312.81
107.8	1.99	1.62	410.56	667.76	322.58
108	2	1.62	381.23	669.31	312.81
108.2	1.99	1.62	391.01	667.76	312.81
108.4	1.99	1.62	391.01	667.76	322.58
108.6	2	1.62	371.46	669.31	312.81
108.8	1.99	1.62	381.23	667.76	312.81
109	2	1.73	371.46	648.06	312.81
109.2	2	1.73	381.23	648.06	322.58
109.4	2	1.73	381.23	648.06	322.58
109.6	2	1.73	400.78	648.06	322.58
109.8	1.99	1.73	400.78	646.55	303.03
110	1.98	1.73	371.46	645.04	303.03
110.2	2	1.73	410.56	648.06	312.81
110.4	1.99	1.73	410.56	646.55	312.81
110.6	2	1.73	381.23	648.06	303.03
110.8	1.99	1.73	381.23	646.55	322.58
111	2	1.73	381.23	648.06	332.36
111.2	2.01	1.73	371.46	649.57	312.81
111.4	1.99	1.73	371.46	646.55	312.81
111.6	2	1.73	381.23	648.06	303.03
111.8	1.99	1.73	391.01	646.55	312.81
112	2	1.73	371.46	648.06	273.7
112.2	2	1.73	391.01	648.06	283.48
112.4	1.99	1.73	391.01	646.55	312.81
112.6	1.99	1.73	371.46	646.55	283.48
112.8	1.99	1.73	410.56	646.55	303.03
113	2	1.73	391.01	648.06	312.81
113.2	2	1.73	391.01	648.06	303.03
113.4	1.99	1.73	410.56	646.55	303.03
113.6	2	1.73	400.78	648.06	303.03
113.8	1.99	1.73	410.56	646.55	293.26
114	2	1.73	371.46	648.06	312.81
114.2	1.99	1.73	400.78	646.55	322.58
114.4	1.99	1.73	391.01	646.55	312.81
114.6	2	1.73	400.78	648.06	312.81
114.8	1.99	1.73	410.56	646.55	293.26
115	1.99	1.73	410.56	646.55	293.26
115.2	1.99	1.73	400.78	646.55	273.7
115.4	1.99	1.73	410.56	646.55	293.26
115.6	2	1.73	410.56	648.06	293.26
115.8	1.99	1.73	410.56	646.55	303.03
116	1.99	1.73	391.01	646.55	303.03
116.2	1.99	1.73	400.78	646.55	312.81
116.4	2	1.73	400.78	648.06	303.03
116.6	2	1.73	391.01	648.06	312.81
116.8	1.99	1.73	430.11	646.55	303.03
117	2	1.73	420.33	648.06	342.13
117.2	1.98	1.73	420.33	645.04	322.58
117.4	2	1.73	400.78	648.06	312.81
117.6	2	1.73	400.78	648.06	312.81
117.8	1.99	1.73	381.23	646.55	303.03
118	2	1.73	381.23	648.06	322.58
118.2	1.99	1.73	391.01	646.55	322.58
118.4	2	1.73	391.01	648.06	312.81
118.6	2	1.73	410.56	648.06	303.03
118.8	1.99	1.73	430.11	646.55	303.03
119	2	1.73	420.33	648.06	303.03
119.2	2	1.73	420.33	648.06	303.03
119.4	2	1.73	400.78	648.06	322.58
119.6	2	1.73	420.33	648.06	303.03
119.8	1.99	1.73	381.23	646.55	303.03
120	2	1.73	381.23	648.06	283.48
120.2	1.99	1.73	400.78	646.55	283.48
120.4	2	1.73	391.01	648.06	283.48
120.6	1.99	1.73	410.56	646.55	293.26
120.8	1.99	1.73	400.78	646.55	283.48
121	2	1.73	410.56	648.06	312.81
121.2	2.01	1.73	391.01	649.57	303.03
121.4	2	1.73	391.01	648.06	322.58
121.6	1.99	1.73	400.78	646.55	322.58
121.8	1.99	1.73	410.56	646.55	312.81
122	2	1.73	400.78	648.06	312.81
122.2	2	1.73	410.56	648.06	303.03
122.4	2	1.73	420.33	648.06	312.81
122.6	2	1.73	439.88	648.06	312.81
122.8	2	1.73	449.66	648.06	303.03
123	2	1.73	420.33	648.06	303.03
123.2	2	1.73	430.11	648.06	303.03
123.4	2	1.73	420.33	648.06	312.81
123.6	2	1.73	430.11	648.06	312.81
123.8	1.99	1.73	420.33	646.55	312.81
124	2	1.73	391.01	648.06	303.03
124.2	1.99	1.73	391.01	646.55	293.26
124.4	1.98	1.73	400.78	645.04	312.81
124.6	1.99	1.73	391.01	646.55	322.58
124.8	2	1.73	391.01	648.06	303.03
125	2	1.73	371.46	648.06	293.26
125.2	2	1.73	381.23	648.06	312.81
125.4	2	1.73	371.46	648.06	293.26
125.6	2	1.73	391.01	648.06	293.26
125.8	1.99	1.73	400.78	646.55	312.81
126	1.99	1.73	381.23	646.55	312.81
126.2	2	1.73	381.23	648.06	303.03
126.4	1.99	1.73	371.46	646.55	303.03
126.6	1.99	1.73	391.01	646.55	303.03
126.8	1.99	1.73	371.46	646.55	254.15
127	2	1.73	361.68	648.06	263.93
127.2	2	1.73	381.23	648.06	303.03
