=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.14 16:20:08 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit DS3502 Test
Couldn't find DS3502 chip
Found DS3502 chip
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)
340,1.01,2.55,459.43,397.15
342,0.99,2.51,439.88,396.60
344,1.00,2.51,400.78,398.46
346,0.97,2.50,361.68,393.89
348,0.96,2.50,332.36,391.99
350,0.99,2.44,312.81,402.01
352,1.00,2.50,332.36,399.53
354,1.01,2.54,332.36,400.04
356,0.99,2.48,322.58,398.73
358,1.00,2.52,332.36,397.40
360,0.99,2.56,322.58,392.42
362,0.99,2.52,283.48,395.54
364,0.99,2.55,293.26,393.45
366,1.00,2.58,293.26,393.24
368,1.00,2.51,303.03,398.46
370,1.00,2.54,312.81,396.35
372,1.01,2.52,303.03,399.25
374,1.01,2.43,293.26,406.90
376,1.00,2.55,342.13,395.30
378,0.98,2.50,303.03,395.78
380,0.99,2.50,293.26,397.66
382,1.00,2.52,283.48,397.40
384,0.97,2.50,303.03,393.89
386,1.00,2.51,322.58,398.46
388,1.00,2.54,283.48,396.35
390,1.00,2.52,312.81,397.40
392,0.99,2.47,322.58,399.82
394,0.98,2.54,293.26,392.63
396,0.97,2.50,293.26,393.89
398,0.98,2.50,332.36,395.78
400,1.00,2.51,332.36,398.46
402,0.97,2.51,332.36,392.84
404,1.00,2.51,312.81,398.46
406,0.98,2.51,342.13,394.72
408,1.01,2.50,303.03,401.39
410,0.99,2.51,312.81,396.60
412,1.00,2.52,322.58,397.40
414,1.00,2.54,332.36,396.35
416,1.00,2.52,332.36,397.40
418,0.98,2.51,371.46,394.72
420,0.99,2.51,371.46,396.60
422,0.99,2.52,351.91,395.54
424,0.99,2.51,391.01,396.60
426,0.99,2.55,430.11,393.45
428,0.99,2.44,449.66,402.01
430,1.00,2.52,469.21,397.40
432,1.00,2.55,508.31,395.30
434,0.99,2.50,537.63,397.66
436,1.00,2.54,518.08,396.35
438,0.99,2.51,576.74,396.60
440,0.98,2.51,654.94,394.72
442,0.99,2.50,703.81,397.66
444,0.99,2.59,742.91,390.38
446,0.99,2.50,791.79,397.66
448,1.00,2.51,782.01,398.46
450,0.99,2.54,801.56,394.49
452,0.99,2.52,772.24,395.54
454,0.99,2.52,684.26,395.54
456,0.99,2.59,625.61,390.38
458,0.99,2.51,557.18,396.60
460,0.99,2.50,557.18,397.66
462,0.99,2.43,527.86,403.12
464,1.00,2.52,527.86,397.40
466,0.99,2.52,498.53,395.54
468,0.98,2.46,518.08,399.01
470,0.97,2.51,518.08,392.84
472,1.00,2.54,508.31,396.35
474,1.00,2.43,508.31,405.01
476,0.99,2.52,488.76,395.54
478,0.99,2.52,498.53,395.54
480,1.01,2.54,518.08,398.20
482,1.01,2.54,488.76,398.20
484,1.00,2.52,527.86,397.40
486,0.98,2.60,527.86,387.53
488,0.99,2.52,527.86,395.54
490,0.97,2.50,547.41,393.89
492,1.00,2.51,547.41,398.46
494,0.99,2.50,606.06,397.66
496,0.99,2.51,606.06,396.60
498,1.00,2.52,664.71,397.40
500,1.01,2.52,684.26,401.10
502,0.99,2.50,703.81,397.66
504,0.98,2.46,723.36,399.01
506,1.00,2.59,772.24,392.22
508,1.01,2.56,782.01,397.94
510,1.00,2.52,801.56,397.40
512,0.99,2.48,840.66,398.73
514,0.99,2.47,821.11,399.82
516,0.98,2.52,821.11,393.67
518,0.99,2.50,772.24,397.66
520,0.99,2.52,723.36,395.54
522,1.01,2.52,703.81,399.25
524,0.99,2.54,713.59,394.49
526,0.99,2.54,694.04,394.49
528,0.98,2.52,752.69,393.67
530,1.00,2.52,801.56,397.40
532,0.99,2.54,889.54,394.49
534,0.99,2.54,909.09,394.49
536,1.00,2.52,899.32,397.40
538,0.99,2.51,801.56,396.60
540,1.00,2.52,762.46,397.40
542,0.99,2.52,723.36,395.54
544,0.98,2.50,654.94,395.78
546,1.00,2.54,615.84,396.35
548,0.98,2.51,596.29,394.72
550,1.00,2.54,625.61,396.35
552,0.98,2.52,625.61,393.67
554,0.99,2.51,635.39,396.60
556,0.99,2.50,537.63,397.66
558,0.99,2.50,527.86,397.66
560,0.98,2.48,449.66,396.85
562,1.00,2.56,449.66,394.27
564,1.01,2.54,420.33,398.20
566,0.99,2.44,430.11,402.01
568,1.00,2.50,439.88,399.53
570,0.99,2.51,410.56,396.60
572,0.99,2.51,459.43,396.60
574,0.99,2.58,430.11,391.40
576,1.01,2.55,400.78,397.15
578,1.00,2.52,439.88,397.40
580,1.01,2.51,400.78,400.32
582,0.99,2.54,449.66,394.49
584,1.00,2.55,410.56,395.30
586,0.99,2.52,381.23,395.54
588,0.99,2.52,420.33,395.54
590,0.97,2.51,410.56,392.84
592,0.99,2.56,430.11,392.42
594,0.99,2.46,459.43,400.91
596,0.99,2.50,439.88,397.66
598,1.00,2.55,420.33,395.30
600,0.99,2.51,400.78,396.60
602,0.99,2.50,410.56,397.66
604,1.00,2.51,400.78,398.46
606,0.99,2.47,400.78,399.82
608,1.00,2.50,430.11,399.53
610,1.00,2.56,439.88,394.27
612,1.00,2.51,469.21,398.46
614,0.99,2.51,439.88,396.60
616,1.00,2.51,478.98,398.46
618,0.99,2.52,478.98,395.54
620,0.98,2.54,478.98,392.63
622,0.98,2.52,527.86,393.67
624,0.97,2.39,547.41,402.65
626,0.99,2.48,586.51,398.73
628,1.00,2.52,625.61,397.40
630,1.00,2.54,635.39,396.35
632,1.00,2.56,654.94,394.27
634,0.98,2.43,654.94,401.21
636,0.95,2.50,654.94,390.09
638,1.01,2.52,615.84,401.10
640,1.00,2.54,566.96,396.35
642,1.00,2.43,586.51,405.01
644,1.00,2.51,576.74,398.46
646,0.99,2.55,615.84,393.45
648,0.99,2.51,576.74,396.60
650,0.99,2.46,566.96,400.91
652,0.98,2.51,566.96,394.72
654,0.98,2.52,586.51,393.67
656,0.99,2.42,527.86,404.23
658,1.01,2.55,547.41,397.15
660,0.99,2.52,518.08,395.54
662,0.99,2.48,488.76,398.73
664,0.99,2.51,488.76,396.60
666,1.00,2.52,430.11,397.40
668,0.98,2.51,459.43,394.72
670,0.98,2.51,439.88,394.72
672,1.00,2.54,439.88,396.35
674,1.00,2.54,420.33,396.35
676,0.99,2.47,420.33,399.82
678,1.00,2.52,381.23,397.40
680,1.01,2.52,449.66,399.25
682,0.98,2.51,439.88,394.72
684,0.99,2.51,410.56,396.60
686,1.00,2.47,400.78,401.70
688,1.00,2.58,410.56,393.24
690,0.97,2.51,449.66,392.84
692,1.00,2.56,508.31,394.27
694,0.98,2.47,508.31,397.93
