=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.22 17:18:31 =~=~=~=~=~=~=~=~=~=~=~=,,,,
Adafruit DS3502 Test,,,,
Couldn't find DS3502 chip,,,,
Found DS3502 chip,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)
31.2,0.95,2.51,527.86,389.04
31.4,0.96,2.43,547.41,397.37
31.6,0.96,2.5,537.63,391.99
31.8,0.96,2.46,557.18,395.19
32,0.97,2.48,557.18,394.95
32.2,0.95,2.5,547.41,390.09
32.4,0.95,2.47,557.18,392.2
32.6,0.96,2.48,557.18,393.05
32.8,0.94,2.5,547.41,388.17
33,0.93,2.56,547.41,381.15
33.2,0.95,2.5,557.18,390.09
33.4,0.96,2.47,566.96,394.12
33.6,0.96,2.55,537.63,387.84
33.8,0.94,2.56,537.63,383.05
34,0.95,2.52,527.86,388
34.2,0.96,2.48,557.18,393.05
34.4,0.96,2.5,537.63,391.99
34.6,0.94,2.48,547.41,389.22
34.8,0.95,2.48,537.63,391.14
35,0.95,2.58,537.63,383.94
35.2,0.96,2.46,547.41,395.19
35.4,0.96,2.54,527.86,388.87
35.6,0.95,2.55,557.18,385.96
35.8,0.94,2.52,537.63,386.1
36,0.96,2.51,557.18,390.94
36.2,0.95,2.54,557.18,386.98
36.4,0.95,2.52,537.63,388
36.6,0.94,2.51,527.86,387.13
36.8,0.96,2.47,547.41,394.12
37,0.94,2.5,547.41,388.17
37.2,0.94,2.48,518.08,389.22
37.4,0.94,2.5,547.41,388.17
37.6,0.95,2.46,527.86,393.27
37.8,0.96,2.5,537.63,391.99
38,0.95,2.46,547.41,393.27
38.2,0.96,2.56,547.41,386.83
38.4,0.93,2.5,498.53,386.24
38.6,0.95,2.51,518.08,389.04
38.8,0.96,2.5,508.31,391.99
39,0.94,2.52,488.76,386.1
39.2,0.95,2.59,508.31,382.95
39.4,0.95,2.42,508.31,396.53
39.6,0.96,2.5,469.21,391.99
39.8,0.94,2.51,488.76,387.13
40,0.94,2.46,469.21,391.34
40.2,0.94,2.54,469.21,385.08
40.4,0.96,2.5,449.66,391.99
40.6,0.96,2.51,449.66,390.94
40.8,0.95,2.51,459.43,389.04
41,0.93,2.48,459.43,387.28
41.2,0.94,2.44,459.43,392.41
41.4,0.97,2.5,498.53,393.89
41.6,0.95,2.47,498.53,392.2
41.8,0.95,2.56,518.08,384.95
42,0.94,2.48,498.53,389.22
42.2,0.95,2.48,518.08,391.14
42.4,0.97,2.5,518.08,393.89
42.6,0.94,2.46,527.86,391.34
42.8,0.96,2.46,518.08,395.19
43,0.96,2.52,498.53,389.9
43.2,0.95,2.52,488.76,388
43.4,0.96,2.51,498.53,390.94
43.6,0.93,2.44,488.76,390.46
43.8,0.93,2.48,488.76,387.28
44,0.96,2.46,508.31,395.19
44.2,0.96,2.47,508.31,394.12
44.4,0.95,2.54,508.31,386.98
44.6,0.94,2.48,498.53,389.22
44.8,0.94,2.5,518.08,388.17
45,0.94,2.5,498.53,388.17
45.2,0.95,2.48,508.31,391.14
45.4,0.94,2.52,498.53,386.1
45.6,0.97,2.43,518.08,399.29
45.8,0.96,2.48,527.86,393.05
46,0.96,2.48,527.86,393.05
46.2,0.96,2.48,518.08,393.05
46.4,0.95,2.46,508.31,393.27
46.6,0.96,2.47,537.63,394.12
46.8,0.95,2.5,508.31,390.09
47,0.94,2.48,498.53,389.22
47.2,0.95,2.48,498.53,391.14
47.4,0.95,2.52,488.76,388
47.6,0.96,2.52,518.08,389.9
47.8,0.94,2.52,488.76,386.1
48,0.94,2.42,488.76,394.58
48.2,0.96,2.48,508.31,393.05
48.4,0.95,2.54,478.98,386.98
48.6,0.94,2.54,498.53,385.08
48.8,0.94,2.43,488.76,393.49
49,0.93,2.51,469.21,385.21
49.2,0.95,2.48,469.21,391.14
49.4,0.95,2.51,459.43,389.04
49.6,0.94,2.47,459.43,390.27
49.8,0.95,2.51,449.66,389.04
50,0.96,2.47,449.66,394.12
50.2,0.95,2.51,439.88,389.04
50.4,0.95,2.54,420.33,386.98
50.6,0.94,2.46,439.88,391.34
50.8,0.95,2.48,449.66,391.14
51,0.96,2.5,469.21,391.99
51.2,0.95,2.48,459.43,391.14
51.4,0.94,2.51,449.66,387.13
51.6,0.96,2.51,439.88,390.94
51.8,0.95,2.5,449.66,390.09
52,0.95,2.48,439.88,391.14
52.2,0.95,2.48,449.66,391.14
52.4,0.97,2.43,449.66,399.29
52.6,0.94,2.47,449.66,390.27
52.8,0.96,2.4,459.43,399.58
53,0.94,2.46,478.98,391.34
53.2,0.95,2.47,459.43,392.2
53.4,0.96,2.52,449.66,389.9
53.6,0.97,2.5,469.21,393.89
53.8,0.94,2.5,459.43,388.17
54,0.93,2.55,449.66,382.15
54.2,0.95,2.47,459.43,392.2
54.4,0.95,2.51,498.53,389.04
54.6,0.96,2.52,478.98,389.9
54.8,0.96,2.47,469.21,394.12
55,0.93,2.46,469.21,389.4
55.2,0.97,2.46,498.53,397.11
55.4,0.95,2.46,469.21,393.27
55.6,0.95,2.54,449.66,386.98
55.8,0.95,2.48,430.11,391.14
56,0.94,2.47,459.43,390.27
56.2,0.96,2.48,498.53,393.05
56.4,0.96,2.48,478.98,393.05
56.6,0.95,2.52,478.98,388
56.8,0.94,2.47,469.21,390.27
57,0.96,2.48,469.21,393.05
57.2,0.96,2.46,508.31,395.19
57.4,0.94,2.46,469.21,391.34
57.6,0.94,2.4,469.21,395.69
57.8,0.95,2.59,459.43,382.95
58,0.96,2.59,469.21,384.82
58.2,0.94,2.51,430.11,387.13
58.4,0.97,2.56,449.66,388.7
58.6,0.96,2.47,430.11,394.12
58.8,0.96,2.47,449.66,394.12
59,0.96,2.55,439.88,387.84
59.2,0.93,2.51,459.43,385.21
