Time (sec),Feed (mm/min),Draw (m/min),Output Dia,Predicted Dia
40.2,2,4.86,332.36,386.43
40.4,1.99,4.86,351.91,385.53
40.6,1.99,4.86,351.91,385.53
40.8,2,4.86,332.36,386.43
41,2,4.86,351.91,386.43
41.2,2,4.86,361.68,386.43
41.4,2,4.86,361.68,386.43
41.6,2,4.86,351.91,386.43
41.8,1.99,4.86,371.46,385.53
42,2,4.86,381.23,386.43
42.2,2,4.86,381.23,386.43
42.4,2,4.76,371.46,390.8
42.6,2,4.76,361.68,390.8
42.8,2,4.76,332.36,390.8
43,1.99,4.76,322.58,389.89
43.2,2,4.76,322.58,390.8
43.4,1.99,4.76,342.13,389.89
43.6,2,4.76,342.13,390.8
43.8,2.01,4.76,342.13,391.7
44,1.99,4.76,332.36,389.89
44.2,2,4.76,342.13,390.8
44.4,2,4.76,332.36,390.8
44.6,1.98,4.76,351.91,388.97
44.8,1.99,4.76,361.68,389.89
45,1.99,4.76,342.13,389.89
45.2,1.99,4.76,361.68,389.89
45.4,2,4.76,332.36,390.8
45.6,2,4.76,332.36,390.8
45.8,2,4.76,332.36,390.8
46,2,4.76,312.81,390.8
46.2,1.99,4.76,332.36,389.89
46.4,2,4.76,322.58,390.8
46.6,1.99,4.76,312.81,389.89
46.8,1.99,4.76,332.36,389.89
47,2,4.76,322.58,390.8
47.2,2,4.76,342.13,390.8
47.4,2,4.76,322.58,390.8
47.6,1.99,4.76,342.13,389.89
47.8,1.99,4.76,351.91,389.89
48,2,4.76,342.13,390.8
48.2,2,4.76,332.36,390.8
48.4,2,4.76,332.36,390.8
48.6,2,4.76,342.13,390.8
48.8,2,4.76,351.91,390.8
49,2,4.76,351.91,390.8
49.2,1.99,4.76,351.91,389.89
49.4,2,4.76,332.36,390.8
49.6,2,4.76,332.36,390.8
49.8,2,4.76,332.36,390.8
50,2,4.76,322.58,390.8
50.2,2,4.76,342.13,390.8
50.4,2,4.76,322.58,390.8
50.6,2,4.76,351.91,390.8
50.8,1.99,4.76,342.13,389.89
51,2,4.76,371.46,390.8
51.2,2,4.76,361.68,390.8
51.4,2,4.65,351.91,395.31
51.6,2,4.65,351.91,395.31
51.8,2,4.65,351.91,395.31
52,1.99,4.65,342.13,394.39
52.2,1.99,4.65,322.58,394.39
52.4,2,4.65,322.58,395.31
52.6,1.99,4.65,312.81,394.39
52.8,1.99,4.65,342.13,394.39
53,1.99,4.65,332.36,394.39
53.2,1.99,4.65,312.81,394.39
53.4,1.99,4.65,322.58,394.39
53.6,2,4.65,322.58,395.31
53.8,2,4.65,312.81,395.31
54,2,4.65,312.81,395.31
54.2,2,4.65,312.81,395.31
54.4,1.99,4.65,332.36,394.39
54.6,2,4.65,332.36,395.31
54.8,1.99,4.65,322.58,394.39
55,2,4.65,312.81,395.31
55.2,2,4.65,312.81,395.31
55.4,2,4.65,322.58,395.31
55.6,2,4.65,312.81,395.31
55.8,1.99,4.65,312.81,394.39
56,1.99,4.65,303.03,394.39
56.2,2,4.65,303.03,395.31
56.4,2,4.65,303.03,395.31
56.6,2,4.65,303.03,395.31
56.8,2,4.65,293.26,395.31
57,2,4.65,312.81,395.31
57.2,1.99,4.65,322.58,394.39
57.4,1.99,4.65,342.13,394.39
57.6,2,4.65,332.36,395.31
57.8,2,4.65,332.36,395.31
58,2,4.54,342.13,399.99
58.2,1.99,4.54,342.13,399.06
58.4,1.99,4.54,312.81,399.06
58.6,1.99,4.54,322.58,399.06
58.8,1.99,4.54,332.36,399.06
59,1.99,4.54,332.36,399.06
59.2,2,4.54,332.36,399.99
59.4,2,4.54,332.36,399.99
59.6,2,4.54,322.58,399.99
59.8,2,4.54,312.81,399.99
60,2,4.54,332.36,399.99
60.2,1.99,4.54,342.13,399.06
60.4,2,4.54,322.58,399.99
60.6,2,4.54,322.58,399.99
60.8,2,4.54,322.58,399.99
61,2,4.54,322.58,399.99
61.2,2,4.54,332.36,399.99
61.4,1.99,4.54,312.81,399.06
61.6,1.99,4.54,322.58,399.06
61.8,1.99,4.54,332.36,399.06
62,1.99,4.54,312.81,399.06
62.2,1.99,4.54,322.58,399.06
62.4,1.99,4.54,322.58,399.06
62.6,2,4.54,322.58,399.99
62.8,2,4.54,322.58,399.99
63,2,4.54,312.81,399.99
63.2,2,4.54,312.81,399.99
63.4,2,4.54,312.81,399.99
63.6,2,4.43,303.03,404.84
63.8,1.99,4.43,332.36,403.9
64,2,4.43,332.36,404.84
64.2,2,4.43,342.13,404.84
64.4,2,4.43,342.13,404.84
64.6,1.99,4.43,351.91,403.9
64.8,1.99,4.43,342.13,403.9
65,2,4.43,351.91,404.84
65.2,1.99,4.43,351.91,403.9
65.4,1.99,4.43,342.13,403.9
65.6,2,4.43,342.13,404.84
65.8,2,4.43,351.91,404.84
66,1.99,4.43,322.58,403.9
66.2,2,4.43,342.13,404.84
66.4,1.99,4.43,342.13,403.9
66.6,1.99,4.43,342.13,403.9
66.8,1.99,4.43,351.91,403.9
67,2,4.43,351.91,404.84
67.2,2,4.43,342.13,404.84
67.4,2,4.43,361.68,404.84
67.6,2,4.43,342.13,404.84
67.8,2,4.43,342.13,404.84
68,1.99,4.43,351.91,403.9
68.2,2,4.43,361.68,404.84
68.4,1.99,4.43,381.23,403.9
68.6,1.99,4.43,361.68,403.9
68.8,1.99,4.43,361.68,403.9
69,2.01,4.43,361.68,405.78
69.2,2,4.43,351.91,404.84
69.4,2,4.43,351.91,404.84
69.6,2,4.43,351.91,404.84
69.8,1.99,4.43,361.68,403.9
70,1.99,4.43,371.46,403.9
70.2,1.99,4.43,371.46,403.9
70.4,2,4.43,381.23,404.84
70.6,2,4.43,371.46,404.84
70.8,2,4.43,371.46,404.84
71,1.99,4.43,391.01,403.9
71.2,1.99,4.32,381.23,408.92
71.4,1.99,4.32,391.01,408.92
71.6,1.99,4.32,400.78,408.92
71.8,2,4.32,410.56,409.87
72,2,4.32,400.78,409.87
72.2,2,4.32,391.01,409.87
72.4,2.01,4.32,410.56,410.82
72.6,2,4.32,420.33,409.87
72.8,1.99,4.32,449.66,408.92
73,1.99,4.32,459.43,408.92
73.2,2,4.32,469.21,409.87
73.4,2,4.32,478.98,409.87
73.6,2,4.32,449.66,409.87
73.8,2,4.32,430.11,409.87
74,1.99,4.43,410.56,403.9
74.2,1.99,4.43,410.56,403.9
74.4,2,4.43,420.33,404.84
74.6,1.99,4.43,420.33,403.9
74.8,2,4.43,439.88,404.84
75,1.99,4.43,430.11,403.9
75.2,2,4.43,430.11,404.84
75.4,2,4.43,459.43,404.84
75.6,1.99,4.43,469.21,403.9
75.8,2,4.43,459.43,404.84
76,2.01,4.43,449.66,405.78
76.2,2,4.43,439.88,404.84
76.4,2,4.43,430.11,404.84
76.6,1.99,4.43,420.33,403.9
76.8,1.99,4.43,420.33,403.9
77,2,4.43,420.33,404.84
77.2,2,4.43,400.78,404.84
77.4,2,4.43,400.78,404.84
77.6,2,4.43,391.01,404.84
77.8,2.01,4.43,391.01,405.78
78,1.99,4.43,391.01,403.9
78.2,2,4.43,420.33,404.84
78.4,1.99,4.43,400.78,403.9
78.6,2,4.43,420.33,404.84
78.8,2,4.43,420.33,404.84
79,2,4.43,430.11,404.84
79.2,2.01,4.43,459.43,405.78
79.4,2,4.43,469.21,404.84
79.6,1.99,4.43,469.21,403.9
79.8,1.99,4.43,459.43,403.9
80,2,4.43,459.43,404.84
80.2,2,4.43,459.43,404.84
80.4,1.99,4.43,478.98,403.9
80.6,2,4.43,469.21,404.84
80.8,1.99,4.43,449.66,403.9
81,1.99,4.43,478.98,403.9
81.2,2.01,4.43,469.21,405.78
81.4,2,4.43,488.76,404.84
81.6,2,4.43,478.98,404.84
81.8,2,4.54,459.43,399.99
82,2,4.54,420.33,399.99
82.2,2,4.54,430.11,399.99
82.4,2,4.54,439.88,399.99
82.6,2,4.54,439.88,399.99
82.8,1.99,4.54,459.43,399.06
83,1.99,4.54,459.43,399.06
83.2,1.99,4.54,449.66,399.06
83.4,2,4.54,439.88,399.99
83.6,2,4.54,449.66,399.99
83.8,2,4.54,430.11,399.99
84,2,4.54,430.11,399.99
84.2,2,4.54,430.11,399.99
84.4,1.99,4.54,449.66,399.06
84.6,1.99,4.54,439.88,399.06
84.8,1.99,4.54,439.88,399.06
85,1.99,4.54,449.66,399.06
85.2,2,4.54,459.43,399.99
85.4,2,4.54,439.88,399.99
85.6,2,4.54,439.88,399.99
85.8,2,4.54,449.66,399.99
86,2,4.54,449.66,399.99
