Time (sec),Feed (mm/min),Draw (m/min),Output Dia,Predicted Dia
443.3,1.99,5.08,420.33,377.24
443.5,1.99,5.08,430.11,377.24
443.7,1.99,5.08,420.33,377.24
443.9,2,5.08,430.11,378.12
444.1,2,5.08,420.33,378.12
444.3,2,5.08,420.33,378.12
444.5,2,5.08,430.11,378.12
444.7,2,5.08,430.11,378.12
444.9,2,5.08,430.11,378.12
445.1,2,5.08,449.66,378.12
445.3,1.99,5.19,439.88,373.29
445.5,2.01,5.19,430.11,375.03
445.7,2,5.19,459.43,374.16
445.9,2,5.19,449.66,374.16
446.1,1.99,5.19,420.33,373.29
446.3,2,5.19,420.33,374.16
446.5,1.99,5.19,430.11,373.29
446.7,2,5.19,420.33,374.16
446.9,1.99,5.19,439.88,373.29
447.1,1.99,5.19,420.33,373.29
447.3,2,5.19,439.88,374.16
447.5,1.99,5.19,430.11,373.29
447.7,2,5.19,439.88,374.16
447.9,2,5.19,430.11,374.16
448.1,1.99,5.19,420.33,373.29
448.3,1.99,5.19,430.11,373.29
448.5,2,5.19,420.33,374.16
448.7,1.99,5.19,439.88,373.29
448.9,1.99,5.19,449.66,373.29
449.1,1.99,5.19,449.66,373.29
449.3,2,5.19,459.43,374.16
449.5,2,5.19,439.88,374.16
449.7,2,5.19,439.88,374.16
449.9,2,5.19,430.11,374.16
450.1,1.99,5.19,420.33,373.29
450.3,1.99,5.19,439.88,373.29
450.5,2,5.19,459.43,374.16
450.7,1.99,5.19,439.88,373.29
450.9,1.99,5.19,430.11,373.29
451.1,2,5.19,439.88,374.16
451.3,2,5.19,430.11,374.16
451.5,2,5.19,439.88,374.16
451.7,1.99,5.3,449.66,369.46
451.9,2,5.3,430.11,370.32
452.1,2,5.3,430.11,370.32
452.3,2,5.3,449.66,370.32
452.5,1.99,5.3,449.66,369.46
452.7,1.99,5.3,439.88,369.46
452.9,2,5.3,439.88,370.32
453.1,2.01,5.3,439.88,371.18
453.3,2,5.3,439.88,370.32
453.5,2,5.3,439.88,370.32
453.7,2,5.3,430.11,370.32
453.9,1.99,5.3,449.66,369.46
454.1,2,5.3,449.66,370.32
454.3,1.99,5.3,439.88,369.46
454.5,2,5.3,430.11,370.32
454.7,2,5.3,449.66,370.32
454.9,2,5.3,430.11,370.32
455.1,2.01,5.3,430.11,371.18
455.3,2,5.3,439.88,370.32
455.5,2,5.3,449.66,370.32
455.7,2,5.3,459.43,370.32
455.9,2.01,5.3,459.43,371.18
456.1,2,5.3,469.21,370.32
456.3,2,5.3,459.43,370.32
456.5,2,5.3,449.66,370.32
456.7,2,5.3,459.43,370.32
456.9,2,5.3,469.21,370.32
457.1,2,5.3,459.43,370.32
457.3,2,5.41,459.43,366.6
457.5,2,5.41,478.98,366.6
457.7,1.99,5.41,449.66,365.74
457.9,2,5.41,449.66,366.6
458.1,2,5.41,439.88,366.6
458.3,2,5.41,439.88,366.6
458.5,2,5.41,420.33,366.6
458.7,2.01,5.41,449.66,367.45
458.9,2,5.41,430.11,366.6
459.1,1.99,5.41,469.21,365.74
459.3,1.99,5.41,469.21,365.74
459.5,1.99,5.41,459.43,365.74
459.7,2,5.41,469.21,366.6
459.9,2,5.41,459.43,366.6
460.1,2,5.41,469.21,366.6
460.3,2.01,5.41,459.43,367.45
460.5,2,5.41,469.21,366.6
460.7,2,5.41,469.21,366.6
460.9,1.99,5.41,488.76,365.74
461.1,2,5.41,469.21,366.6
461.3,1.99,5.41,478.98,365.74
461.5,2,5.41,488.76,366.6
461.7,2,5.41,478.98,366.6
461.9,2,5.51,469.21,362.99
462.1,2,5.51,469.21,362.99
462.3,1.99,5.51,439.88,362.14
462.5,1.99,5.51,459.43,362.14
462.7,2,5.51,449.66,362.99
462.9,2,5.51,469.21,362.99
463.1,1.99,5.51,488.76,362.14
463.3,2,5.51,488.76,362.99
463.5,2,5.51,498.53,362.99
463.7,1.99,5.51,498.53,362.14
463.9,1.99,5.51,488.76,362.14
464.1,2,5.51,508.31,362.99
464.3,2,5.51,498.53,362.99
464.5,2,5.51,518.08,362.99
464.7,2,5.51,527.86,362.99
464.9,1.99,5.51,547.41,362.14
465.1,1.99,5.51,527.86,362.14
465.3,2,5.51,537.63,362.99
465.5,2,5.62,537.63,359.48
465.7,2,5.62,527.86,359.48
465.9,2,5.62,518.08,359.48
466.1,2,5.62,518.08,359.48
466.3,2,5.62,508.31,359.48
466.5,1.99,5.62,508.31,358.64
466.7,1.99,5.62,518.08,358.64
466.9,1.99,5.62,518.08,358.64
467.1,1.99,5.62,508.31,358.64
467.3,2,5.62,537.63,359.48
467.5,2,5.62,537.63,359.48
467.7,2,5.62,537.63,359.48
467.9,2,5.62,537.63,359.48
468.1,2,5.62,537.63,359.48
468.3,2,5.73,537.63,356.07
468.5,2,5.73,557.18,356.07
468.7,1.99,5.73,537.63,355.24
468.9,1.99,5.73,547.41,355.24
469.1,1.99,5.73,557.18,355.24
469.3,1.99,5.73,537.63,355.24
469.5,2,5.73,518.08,356.07
469.7,2,5.73,518.08,356.07
469.9,1.99,5.73,537.63,355.24
470.1,2,5.73,527.86,356.07
470.3,2,5.73,508.31,356.07
470.5,2,5.73,508.31,356.07
470.7,1.99,5.84,469.21,351.94
470.9,1.99,5.84,498.53,351.94
471.1,2,5.84,488.76,352.76
471.3,2,5.84,488.76,352.76
471.5,2,5.84,498.53,352.76
471.7,2,5.84,478.98,352.76
471.9,2,5.84,508.31,352.76
472.1,2,5.84,498.53,352.76
472.3,2,5.84,488.76,352.76
472.5,1.99,5.84,498.53,351.94
472.7,2,5.84,498.53,352.76
472.9,2,5.84,498.53,352.76
473.1,2,5.95,498.53,349.54
473.3,2,5.95,488.76,349.54
473.5,2,5.95,498.53,349.54
473.7,2,5.95,498.53,349.54
473.9,2,5.95,488.76,349.54
474.1,2,5.95,498.53,349.54
474.3,2,5.95,488.76,349.54
474.5,2.01,5.95,488.76,350.35
474.7,2,5.95,459.43,349.54
474.9,1.99,5.95,449.66,348.72
475.1,2,5.95,439.88,349.54
475.3,1.99,5.95,459.43,348.72
475.5,1.99,5.95,459.43,348.72
475.7,1.99,5.95,459.43,348.72
475.9,2,6.05,449.66,346.4
476.1,2,6.05,459.43,346.4
476.3,2.01,6.05,449.66,347.21
476.5,2,6.05,439.88,346.4
476.7,2,6.05,449.66,346.4
476.9,1.99,6.05,478.98,345.6
477.1,1.99,6.05,469.21,345.6
477.3,1.99,6.05,459.43,345.6
477.5,2,6.05,459.43,346.4
477.7,2,6.05,449.66,346.4
477.9,2,6.05,439.88,346.4
478.1,2,6.05,439.88,346.4
478.3,2,6.05,439.88,346.4
478.5,2,6.05,449.66,346.4
478.7,1.99,6.05,439.88,345.6
478.9,1.99,6.05,449.66,345.6
479.1,2,6.05,439.88,346.4
479.3,2,6.16,430.11,343.35
479.5,2,6.16,420.33,343.35
479.7,2,6.16,420.33,343.35
479.9,2,6.16,439.88,343.35
480.1,2,6.16,439.88,343.35
480.3,1.99,6.16,449.66,342.55
480.5,2,6.16,459.43,343.35
480.7,1.99,6.16,459.43,342.55
480.9,1.99,6.16,459.43,342.55
481.1,2,6.16,449.66,343.35
481.3,2,6.16,459.43,343.35
481.5,2,6.16,439.88,343.35
481.7,2,6.16,420.33,343.35
481.9,1.99,6.16,439.88,342.55
482.1,1.99,6.16,430.11,342.55
482.3,2,6.16,430.11,343.35
482.5,1.99,6.16,410.56,342.55
482.7,1.99,6.16,420.33,342.55
482.9,1.99,6.16,410.56,342.55
483.1,2,6.16,410.56,343.35
483.3,2,6.16,410.56,343.35
483.5,1.99,6.16,439.88,342.55
483.7,2,6.16,439.88,343.35
483.9,2,6.16,430.11,343.35
484.1,1.99,6.16,439.88,342.55
484.3,1.99,6.27,430.11,339.59
484.5,1.99,6.27,410.56,339.59
484.7,1.99,6.27,420.33,339.59
484.9,2,6.27,410.56,340.38
485.1,2,6.27,400.78,340.38
485.3,2,6.27,400.78,340.38
485.5,2,6.27,391.01,340.38
485.7,2,6.27,400.78,340.38
485.9,2,6.27,410.56,340.38
486.1,1.99,6.27,420.33,339.59
486.3,1.99,6.27,430.11,339.59
486.5,1.99,6.27,430.11,339.59
486.7,1.99,6.27,420.33,339.59
486.9,2,6.27,420.33,340.38
487.1,2.01,6.27,420.33,341.17
487.3,2,6.27,420.33,340.38
487.5,2,6.27,400.78,340.38
487.7,2,6.27,410.56,340.38
487.9,2,6.27,410.56,340.38
488.1,1.99,6.27,410.56,339.59
488.3,1.99,6.27,400.78,339.59
488.5,2,6.27,400.78,340.38
488.7,2,6.27,391.01,340.38
488.9,2,6.27,420.33,340.38
489.1,2,6.27,400.78,340.38
489.3,2,6.27,400.78,340.38
489.5,1.99,6.27,410.56,339.59
489.7,1.99,6.27,410.56,339.59
489.9,2,6.27,420.33,340.38
490.1,1.99,6.27,420.33,339.59
490.3,2,6.27,420.33,340.38
490.5,2,6.27,400.78,340.38
490.7,2,6.27,391.01,340.38
490.9,2,6.27,391.01,340.38
491.1,2,6.27,381.23,340.38
491.3,1.99,6.27,391.01,339.59
491.5,2,6.27,381.23,340.38
491.7,1.99,6.27,391.01,339.59
491.9,1.99,6.27,391.01,339.59
492.1,1.99,6.27,400.78,339.59
492.3,2,6.27,391.01,340.38
492.5,2,6.27,400.78,340.38
492.7,2,6.27,410.56,340.38
492.9,2,6.27,391.01,340.38
493.1,1.99,6.27,391.01,339.59
493.3,1.99,6.27,391.01,339.59
493.5,2,6.27,391.01,340.38
493.7,1.99,6.27,391.01,339.59
493.9,1.99,6.27,391.01,339.59
494.1,1.99,6.38,400.78,336.7
494.3,1.99,6.38,410.56,336.7
494.5,1.99,6.38,391.01,336.7
494.7,2,6.38,400.78,337.48
494.9,2.01,6.38,400.78,338.27
495.1,2,6.38,381.23,337.48
495.3,2,6.38,400.78,337.48
495.5,2,6.38,381.23,337.48
495.7,1.99,6.38,391.01,336.7
495.9,1.99,6.38,391.01,336.7
496.1,2,6.38,381.23,337.48
496.3,2,6.38,361.68,337.48
496.5,2.01,6.38,381.23,338.27
496.7,2,6.38,361.68,337.48
496.9,2,6.38,361.68,337.48
497.1,2,6.38,381.23,337.48
497.3,2,6.38,381.23,337.48
497.5,1.99,6.38,400.78,336.7
497.7,2,6.38,381.23,337.48
497.9,2,6.38,381.23,337.48
498.1,2,6.38,381.23,337.48
498.3,2,6.38,371.46,337.48
498.5,2,6.38,381.23,337.48
498.7,1.99,6.38,391.01,336.7
498.9,2,6.38,371.46,337.48
499.1,2,6.38,381.23,337.48
499.3,1.99,6.38,381.23,336.7
499.5,2,6.38,381.23,337.48
499.7,2,6.38,361.68,337.48
499.9,2,6.38,351.91,337.48
500.1,2,6.38,361.68,337.48
500.3,2,6.38,371.46,337.48
500.5,1.99,6.38,381.23,336.7
500.7,1.99,6.38,361.68,336.7
500.9,2,6.38,361.68,337.48
501.1,1.99,6.38,371.46,336.7
501.3,2.01,6.38,351.91,338.27
501.5,2,6.38,351.91,337.48
501.7,2,6.38,351.91,337.48
501.9,2,6.38,351.91,337.48
502.1,2,6.38,351.91,337.48
502.3,2,6.38,371.46,337.48
502.5,1.99,6.38,381.23,336.7
502.7,2,6.38,371.46,337.48
502.9,2,6.38,371.46,337.48
503.1,1.99,6.38,371.46,336.7
503.3,1.99,6.38,381.23,336.7
503.5,2,6.38,381.23,337.48
503.7,2.01,6.38,381.23,338.27
503.9,2,6.38,371.46,337.48
504.1,2,6.38,361.68,337.48
504.3,2,6.38,361.68,337.48
504.5,2,6.38,361.68,337.48
504.7,2,6.38,381.23,337.48
504.9,1.99,6.38,381.23,336.7
505.1,1.99,6.38,381.23,336.7
505.3,2,6.38,361.68,337.48
505.5,2,6.38,342.13,337.48
505.7,2,6.38,351.91,337.48
505.9,2,6.38,371.46,337.48
506.1,2,6.38,371.46,337.48
506.3,1.99,6.38,351.91,336.7
506.5,2.01,6.38,371.46,338.27
506.7,2,6.38,371.46,337.48
506.9,2,6.27,371.46,340.38
507.1,1.99,6.27,381.23,339.59
507.3,2,6.27,381.23,340.38
507.5,1.99,6.27,381.23,339.59
507.7,2,6.27,381.23,340.38
507.9,2,6.27,371.46,340.38
508.1,2,6.27,371.46,340.38
508.3,2,6.27,361.68,340.38
508.5,2.01,6.27,361.68,341.17
508.7,2,6.27,371.46,340.38
508.9,1.99,6.27,361.68,339.59
509.1,1.99,6.27,351.91,339.59
509.3,1.99,6.27,361.68,339.59
509.5,1.99,6.27,371.46,339.59
509.7,2.01,6.27,371.46,341.17
509.9,2,6.27,371.46,340.38
510.1,2,6.27,371.46,340.38
510.3,2,6.27,381.23,340.38
510.5,2,6.27,371.46,340.38
510.7,2.01,6.27,361.68,341.17
510.9,2,6.27,391.01,340.38
511.1,2,6.27,381.23,340.38
511.3,1.99,6.27,400.78,339.59
511.5,2,6.27,381.23,340.38
511.7,1.99,6.27,381.23,339.59
511.9,2,6.27,381.23,340.38
512.1,2,6.27,351.91,340.38
512.3,2,6.27,361.68,340.38
512.5,2,6.27,371.46,340.38
512.7,2,6.27,381.23,340.38
512.9,1.99,6.27,361.68,339.59
513.1,1.99,6.27,371.46,339.59
513.3,1.99,6.27,381.23,339.59
513.5,2,6.27,400.78,340.38
513.7,2,6.27,381.23,340.38
513.9,2,6.27,391.01,340.38
514.1,2,6.27,381.23,340.38
514.3,2,6.27,371.46,340.38
514.5,2,6.27,391.01,340.38
514.7,2,6.27,381.23,340.38
514.9,2,6.27,391.01,340.38
515.1,2,6.27,400.78,340.38
515.3,2,6.27,391.01,340.38
515.5,1.99,6.27,400.78,339.59
515.7,2,6.27,391.01,340.38
515.9,2,6.27,371.46,340.38
516.1,2,6.27,371.46,340.38
516.3,2,6.27,361.68,340.38
516.5,2,6.27,381.23,340.38
516.7,2,6.27,361.68,340.38
516.9,1.99,6.27,381.23,339.59
517.1,2,6.27,371.46,340.38
517.3,1.99,6.27,391.01,339.59
517.5,1.99,6.27,391.01,339.59
517.7,2,6.27,371.46,340.38
517.9,2,6.27,381.23,340.38
518.1,1.99,6.27,371.46,339.59
518.3,2,6.27,371.46,340.38
518.5,1.99,6.27,400.78,339.59
518.7,1.99,6.27,391.01,339.59
518.9,1.99,6.27,391.01,339.59
519.1,2,6.27,391.01,340.38
519.3,2,6.27,400.78,340.38
519.5,2,6.27,391.01,340.38
519.7,2.01,6.27,381.23,341.17
519.9,2.01,6.27,371.46,341.17
520.1,2,6.27,381.23,340.38
520.3,2,6.27,381.23,340.38
520.5,1.99,6.27,391.01,339.59
520.7,1.99,6.27,391.01,339.59
520.9,1.99,6.27,391.01,339.59
521.1,2,6.27,400.78,340.38
521.3,1.98,6.27,400.78,338.79
521.5,2,6.27,400.78,340.38
521.7,2,6.27,391.01,340.38
521.9,2,6.27,371.46,340.38
522.1,2.01,6.27,381.23,341.17
522.3,1.99,6.27,391.01,339.59
522.5,2,6.27,371.46,340.38
522.7,1.99,6.27,391.01,339.59
522.9,2.01,6.27,400.78,341.17
523.1,1.99,6.27,400.78,339.59
523.3,1.99,6.27,400.78,339.59
523.5,2,6.27,391.01,340.38
523.7,1.99,6.27,391.01,339.59
523.9,2.01,6.27,391.01,341.17
524.1,2,6.27,400.78,340.38
524.3,1.99,6.27,391.01,339.59
524.5,1.99,6.27,381.23,339.59
524.7,1.99,6.27,391.01,339.59
524.9,1.99,6.27,381.23,339.59
525.1,1.99,6.27,381.23,339.59
525.3,2,6.27,400.78,340.38
525.5,2,6.27,391.01,340.38
525.7,2,6.27,371.46,340.38
525.9,2,6.27,351.91,340.38
526.1,2,6.27,361.68,340.38
526.3,2,6.27,371.46,340.38
526.5,1.99,6.27,391.01,339.59
526.7,2.01,6.27,391.01,341.17
526.9,2,6.27,400.78,340.38
527.1,2,6.27,400.78,340.38
527.3,2,6.27,400.78,340.38
527.5,2,6.27,391.01,340.38
527.7,2,6.27,391.01,340.38
527.9,2,6.27,381.23,340.38
528.1,2,6.27,400.78,340.38
528.3,2,6.27,391.01,340.38
528.5,1.99,6.27,410.56,339.59
528.7,1.99,6.27,410.56,339.59
528.9,1.99,6.27,410.56,339.59
529.1,2,6.27,400.78,340.38
529.3,1.99,6.27,391.01,339.59
529.5,1.99,6.27,381.23,339.59
529.7,2,6.27,371.46,340.38
529.9,2,6.27,391.01,340.38
530.1,1.99,6.27,400.78,339.59
530.3,1.99,6.27,410.56,339.59
530.5,2,6.27,400.78,340.38
530.7,2,6.27,400.78,340.38
530.9,1.99,6.27,410.56,339.59
531.1,2,6.27,400.78,340.38
531.3,2,6.38,400.78,337.48
531.5,2,6.38,400.78,337.48
531.7,2,6.38,410.56,337.48
531.9,1.99,6.38,400.78,336.7
532.1,1.99,6.38,420.33,336.7
532.3,1.99,6.38,420.33,336.7
532.5,2,6.38,420.33,337.48
532.7,2.01,6.38,410.56,338.27
532.9,2,6.38,410.56,337.48
533.1,1.99,6.38,400.78,336.7
533.3,2,6.38,400.78,337.48
533.5,2,6.38,400.78,337.48
533.7,1.99,6.38,410.56,336.7
533.9,1.99,6.38,400.78,336.7
534.1,2,6.38,381.23,337.48
534.3,2,6.38,381.23,337.48
534.5,2,6.38,391.01,337.48
534.7,2,6.38,391.01,337.48
534.9,2,6.38,400.78,337.48
535.1,2,6.38,391.01,337.48
535.3,2,6.38,410.56,337.48
535.5,1.99,6.38,410.56,336.7
535.7,1.99,6.38,400.78,336.7
535.9,1.99,6.38,391.01,336.7
536.1,1.99,6.38,371.46,336.7
536.3,1.99,6.38,381.23,336.7
536.5,1.99,6.38,381.23,336.7
536.7,2,6.38,381.23,337.48
536.9,2,6.38,361.68,337.48
537.1,2,6.38,371.46,337.48
537.3,2,6.38,381.23,337.48
537.5,1.99,6.38,391.01,336.7
537.7,1.99,6.38,371.46,336.7
537.9,2,6.38,371.46,337.48
538.1,2,6.38,391.01,337.48
538.3,1.99,6.38,391.01,336.7
538.5,2,6.38,381.23,337.48
538.7,2,6.38,371.46,337.48
538.9,2,6.38,381.23,337.48
539.1,2,6.38,381.23,337.48
539.3,2,6.38,381.23,337.48
539.5,2,6.38,391.01,337.48
539.7,1.99,6.38,391.01,336.7
539.9,1.99,6.38,400.78,336.7
540.1,1.99,6.38,391.01,336.7
540.3,1.99,6.38,391.01,336.7
540.5,1.99,6.38,391.01,336.7
540.7,2,6.38,391.01,337.48
540.9,2,6.38,381.23,337.48
541.1,2,6.38,391.01,337.48
541.3,2,6.38,391.01,337.48
541.5,2,6.38,371.46,337.48
541.7,2,6.38,381.23,337.48
541.9,2,6.38,381.23,337.48
542.1,2.01,6.38,381.23,338.27
542.3,2,6.38,381.23,337.48
542.5,1.99,6.38,391.01,336.7
542.7,1.99,6.38,410.56,336.7
542.9,2,6.38,400.78,337.48
543.1,2,6.38,420.33,337.48
543.3,1.99,6.38,439.88,336.7
543.5,2,6.38,400.78,337.48
543.7,2,6.38,391.01,337.48
543.9,2,6.38,381.23,337.48
544.1,2,6.38,400.78,337.48
544.3,2,6.38,391.01,337.48
544.5,1.99,6.38,361.68,336.7
544.7,1.99,6.38,400.78,336.7
544.9,1.99,6.38,420.33,336.7
545.1,2,6.38,420.33,337.48
545.3,2,6.38,420.33,337.48
545.5,1.99,6.38,420.33,336.7
545.7,2,6.38,410.56,337.48
545.9,2,6.38,391.01,337.48
546.1,2,6.38,371.46,337.48
546.3,2,6.38,391.01,337.48
546.5,1.99,6.38,391.01,336.7
546.7,2.01,6.38,381.23,338.27
546.9,2,6.38,391.01,337.48
547.1,1.99,6.38,410.56,336.7
547.3,2,6.38,410.56,337.48
547.5,2.01,6.38,420.33,338.27
547.7,1.99,6.38,410.56,336.7
547.9,1.99,6.38,410.56,336.7
548.1,2,6.38,391.01,337.48
548.3,1.99,6.38,400.78,336.7
548.5,1.99,6.38,391.01,336.7
548.7,2,6.38,391.01,337.48
548.9,1.99,6.38,400.78,336.7
549.1,2.01,6.38,400.78,338.27
549.3,1.98,6.38,400.78,335.91
549.5,2,6.38,410.56,337.48
549.7,2.01,6.38,391.01,338.27
549.9,2.01,6.38,391.01,338.27
550.1,2,6.38,400.78,337.48
550.3,1.99,6.38,391.01,336.7
550.5,2,6.38,400.78,337.48
550.7,2,6.38,410.56,337.48
550.9,2,6.38,410.56,337.48
551.1,1.99,6.38,420.33,336.7
551.3,2,6.38,420.33,337.48
551.5,2,6.38,410.56,337.48
551.7,2,6.38,430.11,337.48
551.9,2,6.38,420.33,337.48
552.1,1.99,6.38,400.78,336.7
552.3,1.99,6.38,400.78,336.7
552.5,2,6.38,410.56,337.48
552.7,1.99,6.38,420.33,336.7
552.9,1.99,6.38,410.56,336.7
553.1,2,6.38,410.56,337.48
553.3,2,6.38,410.56,337.48
553.5,1.99,6.49,400.78,333.88
553.7,2,6.49,400.78,334.66
553.9,2,6.49,400.78,334.66
554.1,2,6.49,400.78,334.66
554.3,2,6.49,391.01,334.66
554.5,2.01,6.49,391.01,335.43
554.7,2,6.49,410.56,334.66
554.9,2,6.49,420.33,334.66
555.1,1.99,6.49,420.33,333.88
555.3,1.99,6.49,420.33,333.88
555.5,2,6.49,420.33,334.66
555.7,1.99,6.49,420.33,333.88
555.9,1.99,6.49,420.33,333.88
556.1,2,6.49,400.78,334.66
556.3,2,6.49,420.33,334.66
556.5,2,6.49,430.11,334.66
556.7,1.99,6.49,410.56,333.88
556.9,2,6.49,410.56,334.66
557.1,1.99,6.49,400.78,333.88
557.3,1.99,6.49,420.33,333.88
557.5,2,6.49,400.78,334.66
557.7,2,6.49,400.78,334.66
557.9,2,6.49,400.78,334.66
558.1,2.01,6.49,400.78,335.43
558.3,2,6.49,391.01,334.66
558.5,2,6.49,391.01,334.66
558.7,2,6.49,400.78,334.66
558.9,2,6.49,400.78,334.66
559.1,1.99,6.49,410.56,333.88
559.3,2,6.49,400.78,334.66
559.5,1.99,6.49,400.78,333.88
559.7,1.99,6.49,410.56,333.88
559.9,1.99,6.49,391.01,333.88
560.1,1.99,6.49,410.56,333.88
560.3,2.01,6.49,410.56,335.43
560.5,2,6.49,420.33,334.66
560.7,2,6.49,400.78,334.66
560.9,2,6.49,400.78,334.66
561.1,1.99,6.49,430.11,333.88
561.3,1.99,6.49,410.56,333.88
561.5,2,6.49,420.33,334.66
561.7,2,6.49,420.33,334.66
561.9,1.99,6.49,430.11,333.88
562.1,2,6.49,410.56,334.66
562.3,1.99,6.49,410.56,333.88
562.5,2,6.49,410.56,334.66
562.7,2,6.49,410.56,334.66
562.9,2,6.49,410.56,334.66
563.1,2,6.49,400.78,334.66
563.3,2,6.49,420.33,334.66
563.5,2,6.49,420.33,334.66
563.7,1.99,6.49,410.56,333.88
563.9,2,6.49,420.33,334.66
564.1,1.99,6.49,420.33,333.88
564.3,2,6.49,420.33,334.66
564.5,2,6.49,410.56,334.66
564.7,2,6.49,400.78,334.66
564.9,1.99,6.49,400.78,333.88
565.1,2,6.49,400.78,334.66
565.3,2,6.49,420.33,334.66
565.5,1.99,6.59,420.33,331.13
565.7,1.99,6.59,410.56,331.13
565.9,1.99,6.59,420.33,331.13
566.1,1.99,6.59,420.33,331.13
566.3,2,6.59,391.01,331.9
566.5,2,6.59,410.56,331.9
566.7,2,6.59,400.78,331.9
566.9,2,6.59,410.56,331.9
567.1,2,6.59,410.56,331.9
567.3,2,6.59,420.33,331.9
567.5,1.99,6.59,430.11,331.13
567.7,1.99,6.59,430.11,331.13
567.9,2,6.59,410.56,331.9
568.1,2,6.59,410.56,331.9
568.3,1.99,6.59,400.78,331.13
568.5,2,6.59,400.78,331.9
568.7,2,6.59,391.01,331.9
568.9,2,6.59,410.56,331.9
569.1,1.99,6.59,410.56,331.13
569.3,2,6.59,410.56,331.9
569.5,2,6.59,400.78,331.9
569.7,2,6.59,400.78,331.9
569.9,1.99,6.59,410.56,331.13
570.1,2,6.59,420.33,331.9
570.3,2,6.59,410.56,331.9
570.5,1.99,6.59,410.56,331.13
570.7,2,6.59,410.56,331.9
570.9,2,6.59,400.78,331.9
571.1,2,6.59,410.56,331.9
571.3,2,6.59,410.56,331.9
571.5,2,6.59,410.56,331.9
571.7,2,6.59,410.56,331.9
571.9,2,6.59,420.33,331.9
572.1,1.99,6.59,410.56,331.13
572.3,2,6.59,410.56,331.9
572.5,1.99,6.59,400.78,331.13
572.7,2.01,6.59,391.01,332.67
572.9,2.01,6.59,410.56,332.67
573.1,2,6.59,400.78,331.9
573.3,2.01,6.59,410.56,332.67
573.5,2,6.59,420.33,331.9
573.7,2,6.59,430.11,331.9
573.9,1.99,6.59,430.11,331.13
574.1,1.99,6.59,420.33,331.13
574.3,1.99,6.59,420.33,331.13
574.5,2,6.59,400.78,331.9
574.7,2,6.59,391.01,331.9
574.9,2,6.59,420.33,331.9
575.1,1.99,6.59,410.56,331.13
575.3,1.99,6.59,410.56,331.13
575.5,2,6.59,381.23,331.9
575.7,2,6.59,410.56,331.9
575.9,1.99,6.59,391.01,331.13
576.1,1.99,6.59,391.01,331.13
576.3,2,6.59,381.23,331.9
576.5,2,6.59,391.01,331.9
576.7,2,6.7,391.01,329.21
576.9,2,6.7,400.78,329.21
577.1,2,6.7,410.56,329.21
577.3,1.99,6.7,410.56,328.45
577.5,1.99,6.7,420.33,328.45
577.7,2,6.7,420.33,329.21
577.9,2,6.7,400.78,329.21
578.1,2.01,6.7,420.33,329.98
578.3,2,6.7,420.33,329.21
578.5,2,6.7,410.56,329.21
578.7,2,6.7,430.11,329.21
578.9,1.99,6.7,410.56,328.45
579.1,1.99,6.7,410.56,328.45
579.3,1.99,6.7,400.78,328.45
579.5,1.99,6.7,410.56,328.45
579.7,1.99,6.7,410.56,328.45
579.9,1.99,6.7,410.56,328.45
580.1,2.01,6.7,430.11,329.98
580.3,2.01,6.7,430.11,329.98
580.5,2,6.7,439.88,329.21
580.7,2,6.7,439.88,329.21
580.9,2,6.7,449.66,329.21
581.1,2,6.7,410.56,329.21
581.3,2,6.7,430.11,329.21
581.5,1.99,6.7,420.33,328.45
581.7,1.99,6.7,420.33,328.45
581.9,1.99,6.7,410.56,328.45
582.1,1.99,6.7,410.56,328.45
582.3,2,6.7,391.01,329.21
582.5,2,6.7,410.56,329.21
582.7,2,6.7,420.33,329.21
582.9,2,6.7,439.88,329.21
583.1,2,6.7,439.88,329.21
583.3,2,6.7,430.11,329.21
583.5,1.99,6.7,420.33,328.45
583.7,1.99,6.7,420.33,328.45
583.9,2,6.7,420.33,329.21
584.1,1.99,6.7,410.56,328.45
584.3,2,6.7,420.33,329.21
584.5,2,6.7,430.11,329.21
584.7,2,6.7,410.56,329.21
584.9,1.99,6.7,410.56,328.45
585.1,2,6.7,439.88,329.21
585.3,2,6.7,430.11,329.21
585.5,1.99,6.7,430.11,328.45
585.7,1.99,6.7,439.88,328.45
585.9,1.99,6.7,439.88,328.45
586.1,2,6.7,420.33,329.21
586.3,2,6.7,410.56,329.21
586.5,2,6.7,420.33,329.21
586.7,2,6.81,420.33,326.59
586.9,2,6.81,400.78,326.59
587.1,2,6.81,400.78,326.59
587.3,2,6.81,410.56,326.59
587.5,2,6.81,400.78,326.59
587.7,2,6.81,410.56,326.59
587.9,2,6.81,391.01,326.59
588.1,2,6.81,400.78,326.59
588.3,2,6.81,410.56,326.59
588.5,2,6.81,391.01,326.59
588.7,1.99,6.81,400.78,325.83
588.9,1.99,6.81,410.56,325.83
589.1,1.99,6.81,391.01,325.83
589.3,2,6.81,381.23,326.59
589.5,1.99,6.81,391.01,325.83
589.7,2,6.81,400.78,326.59
589.9,2,6.81,391.01,326.59
590.1,1.99,6.81,400.78,325.83
590.3,2,6.81,410.56,326.59
590.5,1.99,6.81,430.11,325.83
590.7,2,6.81,410.56,326.59
590.9,2,6.81,410.56,326.59
591.1,2,6.81,410.56,326.59
591.3,2,6.81,391.01,326.59
591.5,2,6.81,391.01,326.59
591.7,2,6.81,391.01,326.59
