=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.13 10:56:26 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,
Adafruit DS3502 Test,,,,,,,,,,,,,
Couldn't find DS3502 chip,,,,,,,,,,,,,
Found DS3502 chip,,,,,,,,,,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um),,,,,,,,,
3596,0.99,2.48,273.7,398.73,,,,,,,,,
3598,0.98,2.52,283.48,393.67,,,,,,,,,
3600,1,2.52,254.15,397.4,,,,,,,,,
3602,0.99,2.54,263.93,394.49,,,,,,,,,
3604,0.99,2.47,283.48,399.82,,,,,,,,,
3606,1,2.43,273.7,405.01,,,,,,,,,
3608,1.01,2.47,273.7,403.57,,,,,,,,,
3610,1.01,2.52,273.7,399.25,,,,,,,,,
3612,0.98,2.5,293.26,395.78,,,,,,,,,
3614,1,2.51,293.26,398.46,,,,,,,,,
3616,0.99,2.51,303.03,396.6,,,,,,,,,
3618,0.98,2.5,303.03,395.78,,,,,,,,,
3620,1,2.51,283.48,398.46,,,,,,,,,
3622,0.97,2.48,312.81,394.95,,,,,,,,,
3624,0.98,2.4,303.03,403.44,,,,,,,,,
3626,0.99,2.51,312.81,396.6,,,,,,,,,
3628,0.98,2.51,312.81,394.72,,,,,,,,,
3630,1,2.52,332.36,397.4,,,,,,,,,
3632,0.99,2.52,332.36,395.54,,,,,,,,,
3634,0.99,2.5,332.36,397.66,,,,,,,,,
3636,0.99,2.5,351.91,397.66,,,,,,,,,
3638,1,2.55,351.91,395.3,,,,,,,,,
3640,1,2.51,361.68,398.46,,,,,,,,,
3642,0.98,2.48,361.68,396.85,,,,,,,,,
3644,0.97,2.5,351.91,393.89,,,,,,,,,
3646,1,2.5,351.91,399.53,,,,,,,,,
3648,0.98,2.51,361.68,394.72,,,,,,,,,
3650,0.99,2.5,342.13,397.66,,,,,,,,,
3652,0.99,2.55,342.13,393.45,,,,,,,,,
3654,0.99,2.5,342.13,397.66,,,,,,,,,
3656,1.01,2.51,312.81,400.32,,,,,,,,,
3658,1,2.52,322.58,397.4,,,,,,,,,
3660,1.01,2.52,312.81,399.25,,,,,,,,,
3662,0.99,2.51,322.58,396.6,,,,,,,,,
3664,1.01,2.55,322.58,397.15,,,,,,,,,
3666,1,2.55,322.58,395.3,,,,,,,,,
3668,0.98,2.55,332.36,391.59,,,,,,,,,
3670,0.99,2.52,312.81,395.54,,,,,,,,,
3672,0.99,2.56,312.81,392.42,,,,,,,,,
3674,0.99,2.52,303.03,395.54,,,,,,,,,
3676,0.99,2.51,312.81,396.6,,,,,,,,,
3678,0.99,2.51,312.81,396.6,,,,,,,,,
3680,0.99,2.42,332.36,404.23,,,,,,,,,
3682,1,2.52,312.81,397.4,,,,,,,,,
3684,1,2.51,312.81,398.46,,,,,,,,,
3686,1,2.6,312.81,391.21,,,,,,,,,
3688,1,2.55,322.58,395.3,,,,,,,,,
3690,1,2.5,342.13,399.53,,,,,,,,,
3692,1.01,2.51,322.58,400.32,,,,,,,,,
3694,1,2.55,322.58,395.3,,,,,,,,,
3696,0.99,2.5,303.03,397.66,,,,,,,,,
3698,1,2.5,312.81,399.53,,,,,,,,,
3700,1,2.5,312.81,399.53,,,,,,,,,
3702,0.98,2.48,312.81,396.85,,,,,,,,,
3704,0.99,2.54,312.81,394.49,,,,,,,,,
3706,0.99,2.58,312.81,391.4,,,,,,,,,
3708,0.99,2.47,332.36,399.82,,,,,,,,,
3710,1,2.51,283.48,398.46,,,,,,,,,
3712,0.99,2.51,293.26,396.6,,,,,,,,,
3714,1,2.51,283.48,398.46,,,,,,,,,
3716,1,2.48,303.03,400.61,,,,,,,,,
3718,0.99,2.51,283.48,396.6,,,,,,,,,
3720,0.99,2.51,283.48,396.6,,,,,,,,,
3722,0.99,2.42,263.93,404.23,,,,,,,,,
3724,0.99,2.52,273.7,395.54,,,,,,,,,
3726,1,2.5,254.15,399.53,,,,,,,,,
3728,0.98,2.48,263.93,396.85,,,,,,,,,
3730,0.99,2.5,254.15,397.66,,,,,,,,,
3732,1.01,2.56,263.93,396.11,,,,,,,,,
3734,1,2.44,263.93,403.9,,,,,,,,,
3736,1.01,2.52,254.15,399.25,,,,,,,,,
3738,1,2.51,263.93,398.46,,,,,,,,,
3740,1,2.5,244.38,399.53,,,,,,,,,
3742,1,2.59,254.15,392.22,,,,,,,,,
3744,0.98,2.51,263.93,394.72,,,,,,,,,
3746,0.99,2.56,263.93,392.42,,,,,,,,,
3748,1,2.5,254.15,399.53,,,,,,,,,
3750,1,2.51,273.7,398.46,,,,,,,,,
3752,0.99,2.58,254.15,391.4,,,,,,,,,
3754,0.99,2.5,254.15,397.66,,,,,,,,,
3756,1.01,2.52,273.7,399.25,,,,,,,,,
3758,1,2.51,254.15,398.46,,,,,,,,,
3760,0.97,2.5,273.7,393.89,,,,,,,,,
3762,1,2.55,273.7,395.3,,,,,,,,,
3764,1,2.55,273.7,395.3,,,,,,,,,
3766,0.99,2.55,283.48,393.45,,,,,,,,,
3768,0.99,2.5,273.7,397.66,,,,,,,,,
3770,0.97,2.52,263.93,391.79,,,,,,,,,
3772,0.98,2.51,273.7,394.72,,,,,,,,,
3774,0.99,2.51,273.7,396.6,,,,,,,,,
3776,1,2.51,273.7,398.46,,,,,,,,,
3778,1,2.52,273.7,397.4,,,,,,,,,
3780,0.99,2.51,283.48,396.6,,,,,,,,,
3782,1.01,2.52,283.48,399.25,,,,,,,,,
3784,0.99,2.51,293.26,396.6,,,,,,,,,
3786,0.99,2.55,254.15,393.45,,,,,,,,,
3788,1,2.5,263.93,399.53,,,,,,,,,
3790,1.01,2.52,254.15,399.25,,,,,,,,,
3792,0.98,2.5,273.7,395.78,,,,,,,,,
3794,1,2.51,283.48,398.46,,,,,,,,,
3796,0.99,2.47,273.7,399.82,,,,,,,,,
3798,0.99,2.44,283.48,402.01,,,,,,,,,
3800,0.99,2.51,254.15,396.6,,,,,,,,,
3802,1,2.52,303.03,397.4,,,,,,,,,
3804,1,2.62,273.7,390.2,,,,,,,,,
3806,1,2.51,303.03,398.46,,,,,,,,,
3808,0.98,2.48,303.03,396.85,,,,,,,,,
3810,0.99,2.52,322.58,395.54,,,,,,,,,
3812,0.99,2.47,312.81,399.82,,,,,,,,,
3814,1,2.51,293.26,398.46,,,,,,,,,
3816,1,2.5,293.26,399.53,,,,,,,,,
3818,1,2.54,293.26,396.35,,,,,,,,,
3820,1,2.59,303.03,392.22,,,,,,,,,
3822,1,2.5,312.81,399.53,,,,,,,,,
3824,1,2.51,303.03,398.46,,,,,,,,,
3826,0.99,2.5,303.03,397.66,,,,,,,,,
3828,1,2.51,273.7,398.46,,,,,,,,,
3830,0.99,2.48,293.26,398.73,,,,,,,,,
3832,0.99,2.47,303.03,399.82,,,,,,,,,
3834,1,2.54,303.03,396.35,,,,,,,,,
3836,0.99,2.58,293.26,391.4,,,,,,,,,
3838,0.99,2.5,322.58,397.66,,,,,,,,,
3840,1.01,2.51,293.26,400.32,,,,,,,,,
3842,1.01,2.51,312.81,400.32,,,,,,,,,
3844,1,2.47,303.03,401.7,,,,,,,,,
3846,0.99,2.42,303.03,404.23,,,,,,,,,
3848,0.99,2.5,312.81,397.66,,,,,,,,,
3850,0.98,2.52,332.36,393.67,,,,,,,,,
3852,0.98,2.5,283.48,395.78,,,,,,,,,
3854,0.98,2.47,303.03,397.93,,,,,,,,,
3856,0.98,2.38,312.81,405.72,,,,,,,,,
3858,0.99,2.51,312.81,396.6,,,,,,,,,
3860,0.99,2.5,332.36,397.66,,,,,,,,,
3862,0.98,2.48,312.81,396.85,,,,,,,,,
3864,1,2.5,312.81,399.53,,,,,,,,,
3866,1,2.51,312.81,398.46,,,,,,,,,
3868,1.01,2.54,342.13,398.2,,,,,,,,,
3870,1,2.5,312.81,399.53,,,,,,,,,
3872,1,2.5,303.03,399.53,,,,,,,,,
3874,1,2.58,303.03,393.24,,,,,,,,,
3876,0.99,2.51,303.03,396.6,,,,,,,,,
3878,0.99,2.48,312.81,398.73,,,,,,,,,
3880,1,2.48,293.26,400.61,,,,,,,,,
3882,1,2.52,293.26,397.4,,,,,,,,,
3884,1.01,2.54,293.26,398.2,,,,,,,,,
3886,1,2.5,303.03,399.53,,,,,,,,,
3888,1,2.5,303.03,399.53,,,,,,,,,
3890,1,2.51,283.48,398.46,,,,,,,,,
3892,1,2.43,283.48,405.01,,,,,,,,,
3894,0.98,2.52,303.03,393.67,,,,,,,,,
3896,0.99,2.52,254.15,395.54,,,,,,,,,
3898,1,2.52,273.7,397.4,,,,,,,,,
3900,0.98,2.5,293.26,395.78,,,,,,,,,
3902,0.97,2.5,283.48,393.89,,,,,,,,,
3904,0.99,2.52,293.26,395.54,,,,,,,,,
3906,1,2.59,283.48,392.22,,,,,,,,,
3908,1.01,2.56,293.26,397.94,,,,,,,,,
3910,1,2.51,283.48,398.46,,,,,,,,,
3912,0.99,2.48,293.26,398.73,,,,,,,,,
3914,0.98,2.39,283.48,404.58,,,,,,,,,
3916,0.97,2.48,293.26,394.95,,,,,,,,,
3918,0.99,2.5,273.7,397.66,,,,,,,,,
3920,0.99,2.5,293.26,397.66,,,,,,,,,
3922,0.99,2.5,283.48,397.66,,,,,,,,,
3924,1,2.51,283.48,398.46,,,,,,,,,
3926,0.98,2.5,303.03,395.78,,,,,,,,,
3928,1.01,2.51,283.48,400.32,,,,,,,,,
3930,1.01,2.54,273.7,398.2,,,,,,,,,
3932,0.99,2.51,303.03,396.6,,,,,,,,,
3934,1,2.51,293.26,398.46,,,,,,,,,
3936,0.99,2.5,263.93,397.66,,,,,,,,,
3938,0.99,2.51,293.26,396.6,,,,,,,,,
3940,0.97,2.47,273.7,396.03,,,,,,,,,
3942,1,2.51,273.7,398.46,,,,,,,,,
3944,1,2.44,283.48,403.9,,,,,,,,,
3946,1,2.55,283.48,395.3,,,,,,,,,
3948,0.99,2.52,273.7,395.54,,,,,,,,,
3950,1,2.54,283.48,396.35,,,,,,,,,
3952,1,2.5,293.26,399.53,,,,,,,,,
3954,1,2.52,283.48,397.4,,,,,,,,,
3956,0.99,2.42,283.48,404.23,,,,,,,,,
3958,1,2.46,283.48,402.79,,,,,,,,,
3960,1.01,2.59,303.03,394.05,,,,,,,,,
3962,1.01,2.5,293.26,401.39,,,,,,,,,
3964,1,2.51,273.7,398.46,,,,,,,,,
3966,0.99,2.47,283.48,399.82,,,,,,,,,
3968,1,2.5,303.03,399.53,,,,,,,,,
3970,1,2.5,303.03,399.53,,,,,,,,,
3972,1,2.52,303.03,397.4,,,,,,,,,
3974,1,2.5,303.03,399.53,,,,,,,,,
3976,1,2.51,322.58,398.46,,,,,,,,,
3978,0.99,2.46,303.03,400.91,,,,,,,,,
3980,1,2.51,322.58,398.46,,,,,,,,,
3982,1,2.5,293.26,399.53,,,,,,,,,
3984,0.98,2.51,303.03,394.72,,,,,,,,,
3986,0.98,2.39,303.03,404.58,,,,,,,,,
3988,0.99,2.52,312.81,395.54,,,,,,,,,
3990,0.99,2.5,332.36,397.66,,,,,,,,,
3992,1,2.44,342.13,403.9,,,,,,,,,
3994,0.99,2.5,371.46,397.66,,,,,,,,,
3996,1,2.52,332.36,397.4,,,,,,,,,
3998,0.99,2.47,332.36,399.82,,,,,,,,,
4000,0.99,2.5,332.36,397.66,,,,,,,,,
4002,1,2.52,332.36,397.4,,,,,,,,,
4004,0.99,2.5,361.68,397.66,,,,,,,,,
4006,1,2.48,361.68,400.61,,,,,,,,,
4008,0.99,2.51,371.46,396.6,,,,,,,,,
4010,1,2.47,351.91,401.7,,,,,,,,,
4012,0.98,2.48,361.68,396.85,,,,,,,,,
4014,1,2.52,342.13,397.4,,,,,,,,,
4016,0.99,2.48,342.13,398.73,,,,,,,,,
4018,0.98,2.5,361.68,395.78,,,,,,,,,
4020,0.98,2.5,361.68,395.78,,,,,,,,,
4022,1,2.54,361.68,396.35,,,,,,,,,
4024,0.99,2.52,342.13,395.54,,,,,,,,,
4026,0.99,2.56,351.91,392.42,,,,,,,,,
4028,1,2.47,361.68,401.7,,,,,,,,,
4030,1.01,2.51,342.13,400.32,,,,,,,,,
4032,0.98,2.48,361.68,396.85,,,,,,,,,
4034,0.96,2.48,371.46,393.05,,,,,,,,,
4036,1,2.5,361.68,399.53,,,,,,,,,
4038,0.99,2.52,351.91,395.54,,,,,,,,,
4040,0.98,2.51,351.91,394.72,,,,,,,,,
4042,1,2.51,312.81,398.46,,,,,,,,,
4044,0.98,2.54,322.58,392.63,,,,,,,,,
4046,0.98,2.5,342.13,395.78,,,,,,,,,
4048,0.99,2.51,322.58,396.6,,,,,,,,,
4050,0.99,2.52,342.13,395.54,,,,,,,,,
4052,0.99,2.47,342.13,399.82,,,,,,,,,
4054,0.99,2.5,342.13,397.66,,,,,,,,,
4056,1,2.51,322.58,398.46,,,,,,,,,
4058,1,2.55,332.36,395.3,,,,,,,,,
4060,1,2.5,322.58,399.53,,,,,,,,,
4062,1,2.51,293.26,398.46,,,,,,,,,
4064,1,2.51,283.48,398.46,,,,,,,,,
4066,1,2.52,303.03,397.4,,,,,,,,,
4068,0.99,2.5,312.81,397.66,,,,,,,,,
4070,0.99,2.52,293.26,395.54,,,,,,,,,
4072,1.01,2.51,293.26,402.17,,,,,,,,,
4074,0.99,2.52,312.81,395.54,,,,,,,,,
4076,0.99,2.5,351.91,397.66,,,,,,,,,
4078,0.99,2.5,303.03,397.66,,,,,,,,,
4080,0.99,2.43,322.58,403.12,,,,,,,,,
4082,0.99,2.51,312.81,396.6,,,,,,,,,
4084,0.99,2.44,322.58,402.01,,,,,,,,,
4086,1,2.48,312.81,400.61,,,,,,,,,
4088,1,2.58,283.48,393.24,,,,,,,,,
4090,1,2.51,283.48,398.46,,,,,,,,,
4092,0.99,2.51,293.26,396.6,,,,,,,,,
4094,0.99,2.5,293.26,397.66,,,,,,,,,
4096,0.99,2.48,293.26,398.73,,,,,,,,,
4098,0.99,2.51,312.81,396.6,,,,,,,,,
4100,0.98,2.44,303.03,400.11,,,,,,,,,
4102,1.01,2.55,312.81,397.15,,,,,,,,,
4104,1,2.52,312.81,397.4,,,,,,,,,
4106,0.99,2.5,312.81,397.66,,,,,,,,,
4108,0.98,2.5,322.58,395.78,,,,,,,,,
4110,1,2.44,312.81,403.9,,,,,,,,,
4112,1,2.52,312.81,397.4,,,,,,,,,
4114,0.99,2.5,342.13,397.66,,,,,,,,,
4116,0.98,2.48,332.36,396.85,,,,,,,,,
4118,0.99,2.5,332.36,397.66,,,,,,,,,
4120,1.01,2.46,312.81,404.67,,,,,,,,,
4122,0.99,2.52,303.03,395.54,,,,,,,,,
4124,0.99,2.51,322.58,396.6,,,,,,,,,
4126,0.98,2.5,303.03,395.78,,,,,,,,,
4128,1,2.48,332.36,400.61,,,,,,,,,
4130,0.99,2.47,312.81,399.82,,,,,,,,,
4132,0.98,2.51,312.81,394.72,,,,,,,,,
4134,1,2.52,293.26,397.4,,,,,,,,,
4136,0.98,2.5,303.03,395.78,,,,,,,,,
4138,0.98,2.5,293.26,395.78,,,,,,,,,
4140,0.98,2.5,312.81,395.78,,,,,,,,,
4142,0.99,2.5,303.03,397.66,,,,,,,,,
4144,1,2.5,283.48,399.53,,,,,,,,,
4146,1,2.54,303.03,396.35,,,,,,,,,
4148,1,2.52,312.81,397.4,,,,,,,,,
4150,1,2.51,303.03,398.46,,,,,,,,,
4152,1,2.52,312.81,397.4,,,,,,,,,
4154,1,2.52,322.58,397.4,,,,,,,,,
4156,1.01,2.51,322.58,400.32,,,,,,,,,
4158,1,2.51,312.81,398.46,,,,,,,,,
4160,1,2.47,303.03,401.7,,,,,,,,,
4162,0.99,2.54,312.81,394.49,,,,,,,,,
4164,0.99,2.51,293.26,396.6,,,,,,,,,
4166,1.01,2.54,303.03,398.2,,,,,,,,,
4168,1.01,2.51,322.58,400.32,,,,,,,,,
4170,0.99,2.5,312.81,397.66,,,,,,,,,
4172,1,2.51,312.81,398.46,,,,,,,,,
4174,1,2.5,303.03,399.53,,,,,,,,,
4176,1,2.51,283.48,398.46,,,,,,,,,
4178,0.99,2.51,303.03,396.6,,,,,,,,,
4180,1,2.5,303.03,399.53,,,,,,,,,
4182,0.99,2.5,312.81,397.66,,,,,,,,,
4184,0.98,2.42,303.03,402.32,,,,,,,,,
4186,0.99,2.51,293.26,396.6,,,,,,,,,
4188,0.99,2.5,322.58,397.66,,,,,,,,,
4190,1,2.54,312.81,396.35,,,,,,,,,
4192,1,2.5,303.03,399.53,,,,,,,,,
4194,1,2.51,293.26,398.46,,,,,,,,,
4196,0.99,2.51,303.03,396.6,,,,,,,,,
4198,1,2.51,293.26,398.46,,,,,,,,,
4200,0.99,2.51,303.03,396.6,,,,,,,,,
4202,1,2.51,293.26,398.46,,,,,,,,,
4204,1,2.55,293.26,395.3,,,,,,,,,
4206,0.99,2.58,293.26,391.4,,,,,,,,,
4208,1,2.52,273.7,397.4,,,,,,,,,
4210,0.98,2.48,293.26,396.85,,,,,,,,,
4212,0.99,2.43,283.48,403.12,,,,,,,,,
4214,0.99,2.52,293.26,395.54,,,,,,,,,
4216,0.99,2.51,303.03,396.6,,,,,,,,,
4218,1.01,2.51,273.7,400.32,,,,,,,,,
4220,1,2.55,273.7,395.3,,,,,,,,,
4222,1.01,2.52,293.26,401.1,,,,,,,,,
4224,0.98,2.47,283.48,397.93,,,,,,,,,
4226,1,2.44,293.26,403.9,,,,,,,,,
4228,0.98,2.51,293.26,394.72,,,,,,,,,
4230,0.98,2.5,293.26,395.78,,,,,,,,,
4232,0.98,2.47,283.48,397.93,,,,,,,,,
4234,1,2.56,273.7,394.27,,,,,,,,,
4236,1,2.51,283.48,398.46,,,,,,,,,
4238,0.99,2.5,293.26,397.66,,,,,,,,,
4240,0.98,2.51,283.48,394.72,,,,,,,,,
4242,0.99,2.48,283.48,398.73,,,,,,,,,
4244,1,2.51,293.26,398.46,,,,,,,,,
4246,0.99,2.48,283.48,398.73,,,,,,,,,
4248,1,2.56,312.81,394.27,,,,,,,,,
4250,1.01,2.56,322.58,397.94,,,,,,,,,
4252,1,2.54,312.81,396.35,,,,,,,,,
4254,0.99,2.48,332.36,398.73,,,,,,,,,
4256,0.99,2.48,312.81,398.73,,,,,,,,,
4258,1.01,2.51,312.81,400.32,,,,,,,,,
4260,1.01,2.52,303.03,399.25,,,,,,,,,
4262,0.99,2.51,312.81,396.6,,,,,,,,,
4264,0.99,2.52,312.81,395.54,,,,,,,,,
4266,0.98,2.39,322.58,404.58,,,,,,,,,
4268,0.99,2.5,322.58,397.66,,,,,,,,,
4270,1.01,2.52,322.58,401.1,,,,,,,,,
4272,1,2.51,322.58,398.46,,,,,,,,,
4274,0.99,2.55,332.36,393.45,,,,,,,,,
4276,0.99,2.55,322.58,393.45,,,,,,,,,
4278,1,2.51,312.81,398.46,,,,,,,,,
4280,0.99,2.52,322.58,395.54,,,,,,,,,
4282,0.99,2.5,293.26,397.66,,,,,,,,,
4284,0.99,2.43,312.81,403.12,,,,,,,,,
4286,0.98,2.55,312.81,391.59,,,,,,,,,
4288,0.99,2.52,293.26,395.54,,,,,,,,,
4290,0.98,2.5,303.03,395.78,,,,,,,,,
4292,1.01,2.51,293.26,400.32,,,,,,,,,
4294,1.01,2.52,303.03,399.25,,,,,,,,,
4296,0.99,2.54,312.81,394.49,,,,,,,,,
4298,1,2.5,293.26,399.53,,,,,,,,,
4300,1,2.51,332.36,398.46,,,,,,,,,
4302,1,2.51,312.81,398.46,,,,,,,,,
4304,1,2.58,322.58,393.24,,,,,,,,,
4306,1.01,2.44,312.81,405.78,,,,,,,,,
4308,1,2.48,322.58,400.61,,,,,,,,,
4310,1.01,2.51,293.26,400.32,,,,,,,,,
4312,0.99,2.47,322.58,399.82,,,,,,,,,
4314,1,2.52,303.03,397.4,,,,,,,,,
4316,0.98,2.48,303.03,396.85,,,,,,,,,
4318,0.98,2.48,312.81,396.85,,,,,,,,,
4320,0.99,2.52,312.81,395.54,,,,,,,,,
4322,1.01,2.52,312.81,399.25,,,,,,,,,
4324,0.99,2.51,303.03,396.6,,,,,,,,,
4326,1,2.52,293.26,397.4,,,,,,,,,
4328,0.99,2.44,303.03,402.01,,,,,,,,,
4330,1.01,2.55,303.03,397.15,,,,,,,,,
4332,0.99,2.46,322.58,400.91,,,,,,,,,
4334,1.01,2.54,293.26,398.2,,,,,,,,,
4336,0.99,2.42,283.48,404.23,,,,,,,,,
4338,0.99,2.52,293.26,395.54,,,,,,,,,
4340,1,2.52,273.7,397.4,,,,,,,,,
4342,0.99,2.47,273.7,399.82,,,,,,,,,
4344,0.99,2.5,303.03,397.66,,,,,,,,,
4346,1.01,2.56,273.7,396.11,,,,,,,,,
4348,0.99,2.46,283.48,400.91,,,,,,,,,
4350,0.98,2.5,283.48,395.78,,,,,,,,,
4352,0.97,2.48,293.26,394.95,,,,,,,,,
4354,0.99,2.48,293.26,398.73,,,,,,,,,
4356,0.99,2.54,273.7,394.49,,,,,,,,,
4358,1,2.47,273.7,401.7,,,,,,,,,
4360,1,2.5,293.26,399.53,,,,,,,,,
4362,0.99,2.47,263.93,399.82,,,,,,,,,
4364,1,2.48,293.26,400.61,,,,,,,,,
4366,0.98,2.5,263.93,395.78,,,,,,,,,
4368,0.99,2.51,263.93,396.6,,,,,,,,,
4370,0.99,2.52,263.93,395.54,,,,,,,,,
4372,0.98,2.51,263.93,394.72,,,,,,,,,
4374,0.99,2.51,234.6,396.6,,,,,,,,,
4376,0.99,2.5,263.93,397.66,,,,,,,,,
4378,0.98,2.47,273.7,397.93,,,,,,,,,
4380,1.01,2.51,273.7,400.32,,,,,,,,,
4382,1,2.51,273.7,398.46,,,,,,,,,
4384,1,2.51,293.26,398.46,,,,,,,,,
4386,1,2.51,263.93,398.46,,,,,,,,,
4388,1,2.59,263.93,392.22,,,,,,,,,
4390,0.98,2.48,283.48,396.85,,,,,,,,,
4392,0.99,2.46,293.26,400.91,,,,,,,,,
4394,1,2.51,254.15,398.46,,,,,,,,,
4396,0.99,2.48,273.7,398.73,,,,,,,,,
4398,0.98,2.44,263.93,400.11,,,,,,,,,
4400,1,2.52,273.7,397.4,,,,,,,,,
4402,0.99,2.51,283.48,396.6,,,,,,,,,
4404,1,2.47,293.26,401.7,,,,,,,,,
4406,0.99,2.51,322.58,396.6,,,,,,,,,
4408,1.01,2.54,303.03,400.04,,,,,,,,,
4410,0.99,2.51,303.03,396.6,,,,,,,,,
4412,0.98,2.51,332.36,394.72,,,,,,,,,
4414,0.99,2.47,293.26,399.82,,,,,,,,,
4416,0.99,2.47,293.26,399.82,,,,,,,,,
4418,0.99,2.51,293.26,396.6,,,,,,,,,
4420,0.98,2.51,293.26,394.72,,,,,,,,,
4422,1,2.51,312.81,398.46,,,,,,,,,
4424,1,2.5,303.03,399.53,,,,,,,,,
4426,0.99,2.46,303.03,400.91,,,,,,,,,
4428,1,2.5,312.81,399.53,,,,,,,,,
4430,1,2.47,332.36,401.7,,,,,,,,,
4432,1.01,2.56,332.36,397.94,,,,,,,,,
4434,0.99,2.52,322.58,395.54,,,,,,,,,
4436,1.01,2.52,332.36,399.25,,,,,,,,,
4438,0.99,2.5,322.58,397.66,,,,,,,,,
4440,0.99,2.5,322.58,397.66,,,,,,,,,
4442,1,2.55,342.13,395.3,,,,,,,,,
4444,1,2.55,332.36,395.3,,,,,,,,,
4446,0.97,2.48,332.36,394.95,,,,,,,,,
4448,1,2.51,322.58,398.46,,,,,,,,,
4450,1,2.48,332.36,400.61,,,,,,,,,
4452,1,2.5,312.81,399.53,,,,,,,,,
4454,0.99,2.54,322.58,394.49,,,,,,,,,
4456,1,2.52,303.03,397.4,,,,,,,,,
4458,0.97,2.48,332.36,394.95,,,,,,,,,
4460,0.98,2.52,303.03,393.67,,,,,,,,,
4462,0.99,2.55,303.03,393.45,,,,,,,,,
4464,0.99,2.48,283.48,398.73,,,,,,,,,
4466,0.99,2.5,293.26,397.66,,,,,,,,,
4468,0.99,2.48,312.81,398.73,,,,,,,,,
4470,0.99,2.5,322.58,397.66,,,,,,,,,
4472,0.99,2.5,322.58,397.66,,,,,,,,,
4474,1,2.51,322.58,398.46,,,,,,,,,
4476,1,2.52,322.58,397.4,,,,,,,,,
4478,1,2.5,332.36,399.53,,,,,,,,,
4480,0.99,2.48,312.81,398.73,,,,,,,,,
4482,0.99,2.47,312.81,399.82,,,,,,,,,
4484,1,2.51,322.58,398.46,,,,,,,,,
4486,0.99,2.5,322.58,397.66,,,,,,,,,
4488,0.97,2.4,312.81,401.52,,,,,,,,,
4490,0.98,2.56,342.13,390.57,,,,,,,,,
4492,1,2.52,342.13,397.4,,,,,,,,,
4494,1,2.52,342.13,397.4,,,,,,,,,
4496,1.01,2.58,332.36,396.9,,,,,,,,,
4498,1.04,2.58,342.13,402.32,,,,,,,,,
4500,1.08,2.63,351.91,405.24,,,,,,,,,
4502,1.13,2.74,322.58,405.69,,,,,,,,,
4504,1.15,2.79,332.36,405.08,,,,,,,,,
4506,1.17,2.89,312.81,403.26,,,,,,,,,
4508,1.2,3.07,332.36,395.36,,,,,,,,,
4510,1.24,3.19,322.58,393.78,,,,,,,,,
4512,1.26,3.3,322.58,390.23,,,,,,,,,
4514,1.27,3.42,322.58,384.69,,,,,,,,,
4516,1.31,3.46,322.58,389.42,,,,,,,,,
4518,1.35,3.5,332.36,392.63,,,,,,,,,
4520,1.35,3.65,342.13,384.61,,,,,,,,,
4522,1.41,3.87,322.58,381.42,,,,,,,,,
4524,1.45,4.03,312.81,379.85,,,,,,,,,
4526,1.44,4.08,283.48,376.14,,,,,,,,,
4528,1.48,4.13,283.48,378.48,,,,,,,,,
4530,1.55,4.17,273.7,386.01,,,,,,,,,
4532,1.62,4.32,293.26,387.22,,,,,,,,,
4534,1.63,4.42,293.26,384.18,,,,,,,,,
4536,1.7,4.52,283.48,388.17,,,,,,,,,
4538,1.7,4.55,263.93,387.03,,,,,,,,,
4540,1.77,4.66,263.93,389.79,,,,,,,,,
4542,1.87,4.76,263.93,396.37,,,,,,,,,
4544,1.93,4.74,273.7,403.38,,,,,,,,,
4546,1.92,4.78,283.48,400.7,,,,,,,,,
4548,1.94,4.81,263.93,401.52,,,,,,,,,
4550,1.99,4.82,273.7,406.7,,,,,,,,,
4552,2.02,4.83,283.48,408.97,,,,,,,,,
4554,2.02,4.85,263.93,408.41,,,,,,,,,
4556,2.02,4.82,273.7,409.54,,,,,,,,,
4558,2.04,4.89,273.7,408.59,,,,,,,,,
4560,2.04,4.89,283.48,408.59,,,,,,,,,
4562,2.03,4.83,283.48,409.91,,,,,,,,,
4564,2.02,4.85,273.7,408.41,,,,,,,,,
4566,2.01,4.74,263.93,412.06,,,,,,,,,
4568,2.02,4.87,293.26,407.28,,,,,,,,,
4570,2.03,4.91,244.38,406.54,,,,,,,,,
4572,2.02,4.81,224.83,410.11,,,,,,,,,
4574,2.03,4.95,234.6,404.88,,,,,,,,,
4576,2.02,4.98,234.6,402.86,,,,,,,,,
4578,2,4.95,224.83,402.09,,,,,,,,,
4580,2.02,5.13,215.05,397.02,,,,,,,,,
4582,2.04,5.17,234.6,397.29,,,,,,,,,
4584,2.03,5.19,234.6,395.36,,,,,,,,,
4586,2.01,5.26,234.6,391.02,,,,,,,,,
4588,2.02,5.21,205.28,393.94,,,,,,,,,
4590,2.02,5.4,215.05,387.02,,,,,,,,,
4592,2.02,5.34,205.28,388.96,,,,,,,,,
4594,2.02,5.29,215.05,390.93,,,,,,,,,
4596,2.03,5.32,195.5,390.84,,,,,,,,,
4598,2.02,5.25,205.28,392.43,,,,,,,,,
4600,2,5.13,244.38,395.19,,,,,,,,,
4602,2.01,5.07,234.6,398.2,,,,,,,,,
