=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.13 10:56:26 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,
Adafruit DS3502 Test,,,,,,,,,,,,,
Couldn't find DS3502 chip,,,,,,,,,,,,,
Found DS3502 chip,,,,,,,,,,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um),,,,,,,,,
272,0.99,2.54,488.76,394.49,,,,,,,,,
274,1,2.5,478.98,399.53,,,,,,,,,
276,0.98,2.51,459.43,394.72,,,,,,,,,
278,1,2.54,469.21,396.35,,,,,,,,,
280,0.98,2.51,459.43,394.72,,,,,,,,,
282,0.97,2.5,469.21,393.89,,,,,,,,,
284,1,2.51,430.11,398.46,,,,,,,,,
286,0.99,2.51,430.11,396.6,,,,,,,,,
288,1,2.52,391.01,397.4,,,,,,,,,
290,1,2.52,400.78,397.4,,,,,,,,,
292,1,2.48,400.78,400.61,,,,,,,,,
294,0.99,2.5,410.56,397.66,,,,,,,,,
296,1,2.51,430.11,398.46,,,,,,,,,
298,1,2.47,459.43,401.7,,,,,,,,,
300,1,2.51,410.56,398.46,,,,,,,,,
302,1,2.54,400.78,396.35,,,,,,,,,
304,1,2.55,391.01,395.3,,,,,,,,,
306,0.98,2.51,381.23,394.72,,,,,,,,,
308,0.99,2.5,391.01,397.66,,,,,,,,,
310,1,2.5,381.23,399.53,,,,,,,,,
312,1,2.51,381.23,398.46,,,,,,,,,
314,1,2.46,381.23,402.79,,,,,,,,,
316,0.98,2.51,410.56,394.72,,,,,,,,,
318,0.99,2.5,400.78,397.66,,,,,,,,,
320,0.99,2.51,400.78,396.6,,,,,,,,,
322,0.99,2.54,391.01,394.49,,,,,,,,,
324,0.98,2.55,381.23,391.59,,,,,,,,,
326,1,2.58,371.46,393.24,,,,,,,,,
328,0.99,2.47,371.46,399.82,,,,,,,,,
330,1,2.54,410.56,396.35,,,,,,,,,
332,0.99,2.56,439.88,392.42,,,,,,,,,
334,1,2.51,449.66,398.46,,,,,,,,,
336,1.01,2.51,430.11,400.32,,,,,,,,,
338,1,2.51,400.78,398.46,,,,,,,,,
340,1,2.5,371.46,399.53,,,,,,,,,
342,1,2.5,342.13,399.53,,,,,,,,,
344,0.98,2.48,381.23,396.85,,,,,,,,,
346,1.01,2.5,371.46,401.39,,,,,,,,,
348,0.99,2.51,361.68,396.6,,,,,,,,,
350,0.98,2.46,391.01,399.01,,,,,,,,,
352,1,2.46,430.11,402.79,,,,,,,,,
354,1,2.5,439.88,399.53,,,,,,,,,
356,0.99,2.48,459.43,398.73,,,,,,,,,
358,1,2.51,478.98,398.46,,,,,,,,,
360,0.99,2.46,518.08,400.91,,,,,,,,,
362,1,2.51,508.31,398.46,,,,,,,,,
364,1,2.51,430.11,398.46,,,,,,,,,
366,0.98,2.51,430.11,394.72,,,,,,,,,
