# material: PETG,,,,,,,,,,,,,,,,
# geometry: oct,,,,,,,,,,,,,,,,
# preform_diameter: 20.0,,,,,,,,,,,,,,,,
# material_color: black,,,,,,,,,,,,,,,,
# temperature_C: 160.0,,,,,,,,,,,,,,,,
# drawdown_ratio: 50.0,,,,,,,,,,,,,,,,
# trial_number: 011,,,,,,,,,,,,,,,,
# operator: Kevin Liu,,,,,,,,,,,,,,,,
# start_time: 2025-07-31 13:48:20,,,,,,,,,,,,,,,,
# notes: PI control system active. Horizontally printed preform 0 deg raster. 010 glitched,,,,,,,,,,,,,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um),,,,,,,,,,,,
83.3,1.99,5.73,439.88,355.24,,,,,,,,,,,,
83.5,1.99,5.73,469.21,355.24,,,,,,,,,,,,
83.7,1.98,5.73,449.66,354.41,,,,,,,,,,,,
83.9,1.98,5.73,449.66,354.41,,,,,,,,,,,,
84.1,1.99,5.73,469.21,355.24,,,,,,,,,,,,
84.3,1.99,5.73,478.98,355.24,,,,,,,,,,,,
84.5,1.99,5.73,469.21,355.24,,,,,,,,,,,,
84.7,1.98,5.73,488.76,354.41,,,,,,,,,,,,
84.9,1.98,5.73,469.21,354.41,,,,,,,,,,,,
85.1,1.98,5.73,488.76,354.41,,,,,,,,,,,,
85.3,1.99,5.73,469.21,355.24,,,,,,,,,,,,
85.5,1.99,5.73,498.53,355.24,,,,,,,,,,,,
85.7,1.99,5.73,469.21,355.24,,,,,,,,,,,,
85.9,1.97,5.73,469.21,353.58,,,,,,,,,,,,
86.1,1.98,5.73,430.11,354.41,,,,,,,,,,,,
86.3,1.99,5.73,459.43,355.24,,,,,,,,,,,,
86.5,1.99,5.73,430.11,355.24,,,,,,,,,,,,
86.7,1.98,5.73,439.88,354.41,,,,,,,,,,,,
86.9,1.99,5.73,459.43,355.24,,,,,,,,,,,,
87.1,1.97,5.73,459.43,353.58,,,,,,,,,,,,
87.3,1.98,5.73,449.66,354.41,,,,,,,,,,,,
87.5,1.98,5.73,459.43,354.41,,,,,,,,,,,,
87.7,1.99,5.73,439.88,355.24,,,,,,,,,,,,
87.9,1.99,5.73,498.53,355.24,,,,,,,,,,,,
88.1,1.99,5.84,488.76,351.94,,,,,,,,,,,,
88.3,1.98,5.84,576.74,351.11,,,,,,,,,,,,
88.5,1.99,5.84,498.53,351.94,,,,,,,,,,,,
88.7,1.97,5.84,488.76,350.29,,,,,,,,,,,,
88.9,1.98,5.84,478.98,351.11,,,,,,,,,,,,
89.1,1.98,5.84,498.53,351.11,,,,,,,,,,,,
89.3,1.99,5.84,449.66,351.94,,,,,,,,,,,,
89.5,1.97,5.84,459.43,350.29,,,,,,,,,,,,
89.7,1.99,5.84,430.11,351.94,,,,,,,,,,,,
89.9,1.97,5.84,459.43,350.29,,,,,,,,,,,,
90.1,1.99,5.84,459.43,351.94,,,,,,,,,,,,
90.3,1.97,5.84,459.43,350.29,,,,,,,,,,,,
90.5,2,5.84,439.88,352.76,,,,,,,,,,,,
90.7,1.99,5.84,449.66,351.94,,,,,,,,,,,,
90.9,1.99,5.84,439.88,351.94,,,,,,,,,,,,
91.1,1.97,5.84,449.66,350.29,,,,,,,,,,,,
91.3,1.98,5.84,449.66,351.11,,,,,,,,,,,,
91.5,1.97,5.84,469.21,350.29,,,,,,,,,,,,
91.7,1.98,5.84,469.21,351.11,,,,,,,,,,,,
91.9,1.97,5.84,469.21,350.29,,,,,,,,,,,,
92.1,1.99,5.84,459.43,351.94,,,,,,,,,,,,
92.3,1.99,5.84,459.43,351.94,,,,,,,,,,,,
92.5,1.99,5.84,478.98,351.94,,,,,,,,,,,,
92.7,1.98,5.84,439.88,351.11,,,,,,,,,,,,
92.9,1.98,5.84,449.66,351.11,,,,,,,,,,,,
93.1,1.99,5.84,439.88,351.94,,,,,,,,,,,,
93.3,1.99,5.95,449.66,348.72,,,,,,,,,,,,
93.5,1.98,5.95,459.43,347.91,,,,,,,,,,,,
93.7,1.98,5.95,449.66,347.91,,,,,,,,,,,,
93.9,1.98,5.95,469.21,347.91,,,,,,,,,,,,
94.1,1.99,5.95,439.88,348.72,,,,,,,,,,,,
94.3,1.98,5.95,449.66,347.91,,,,,,,,,,,,
94.5,1.99,5.95,430.11,348.72,,,,,,,,,,,,
94.7,1.98,5.95,459.43,347.91,,,,,,,,,,,,
94.9,1.99,5.95,439.88,348.72,,,,,,,,,,,,
95.1,1.97,5.95,459.43,347.09,,,,,,,,,,,,
95.3,1.99,5.95,430.11,348.72,,,,,,,,,,,,
95.5,1.98,5.95,439.88,347.91,,,,,,,,,,,,
95.7,1.98,5.95,430.11,347.91,,,,,,,,,,,,
95.9,1.98,5.95,459.43,347.91,,,,,,,,,,,,
96.1,1.99,5.95,439.88,348.72,,,,,,,,,,,,
96.3,1.98,5.95,459.43,347.91,,,,,,,,,,,,
96.5,1.99,5.95,430.11,348.72,,,,,,,,,,,,
96.7,1.98,5.95,449.66,347.91,,,,,,,,,,,,
96.9,1.98,5.95,439.88,347.91,,,,,,,,,,,,
97.1,1.98,5.95,449.66,347.91,,,,,,,,,,,,
97.3,1.99,5.95,439.88,348.72,,,,,,,,,,,,
97.5,1.97,5.95,439.88,347.09,,,,,,,,,,,,
97.7,1.99,5.95,439.88,348.72,,,,,,,,,,,,
97.9,1.99,5.95,459.43,348.72,,,,,,,,,,,,
98.1,1.99,5.95,439.88,348.72,,,,,,,,,,,,
98.3,1.97,5.95,459.43,347.09,,,,,,,,,,,,
98.5,1.99,5.95,430.11,348.72,,,,,,,,,,,,
98.7,1.99,5.95,439.88,348.72,,,,,,,,,,,,
98.9,1.99,5.95,430.11,348.72,,,,,,,,,,,,
99.1,1.99,5.95,449.66,348.72,,,,,,,,,,,,
99.3,1.99,5.95,430.11,348.72,,,,,,,,,,,,
99.5,1.98,6.05,449.66,344.79,,,,,,,,,,,,
99.7,1.98,6.05,439.88,344.79,,,,,,,,,,,,
99.9,1.98,6.05,430.11,344.79,,,,,,,,,,,,
100.1,1.99,6.05,400.78,345.6,,,,,,,,,,,,
100.3,1.98,6.05,420.33,344.79,,,,,,,,,,,,
100.5,1.98,6.05,400.78,344.79,,,,,,,,,,,,
100.7,1.99,6.05,420.33,345.6,,,,,,,,,,,,
100.9,1.98,6.05,410.56,344.79,,,,,,,,,,,,
101.1,1.99,6.05,400.78,345.6,,,,,,,,,,,,
101.3,1.98,6.05,420.33,344.79,,,,,,,,,,,,
101.5,1.99,6.05,391.01,345.6,,,,,,,,,,,,
101.7,1.99,6.05,391.01,345.6,,,,,,,,,,,,
101.9,1.99,6.05,410.56,345.6,,,,,,,,,,,,
102.1,1.97,6.05,420.33,343.98,,,,,,,,,,,,
102.3,1.98,6.05,478.98,344.79,,,,,,,,,,,,
102.5,1.98,6.05,566.96,344.79,,,,,,,,,,,,
102.7,1.98,6.05,478.98,344.79,,,,,,,,,,,,
102.9,1.98,6.05,478.98,344.79,,,,,,,,,,,,
103.1,1.99,6.05,449.66,345.6,,,,,,,,,,,,
103.3,1.98,6.05,459.43,344.79,,,,,,,,,,,,
103.5,1.98,6.05,449.66,344.79,,,,,,,,,,,,
103.7,1.97,6.05,469.21,343.98,,,,,,,,,,,,
103.9,1.99,6.05,430.11,345.6,,,,,,,,,,,,
104.1,1.98,6.05,430.11,344.79,,,,,,,,,,,,
104.3,1.99,6.05,439.88,345.6,,,,,,,,,,,,
104.5,1.98,6.05,459.43,344.79,,,,,,,,,,,,
104.7,1.99,6.05,459.43,345.6,,,,,,,,,,,,
104.9,1.97,6.05,459.43,343.98,,,,,,,,,,,,
105.1,1.98,6.05,459.43,344.79,,,,,,,,,,,,
105.3,1.99,6.05,439.88,345.6,,,,,,,,,,,,
105.5,1.98,6.05,430.11,344.79,,,,,,,,,,,,
105.7,1.98,6.05,439.88,344.79,,,,,,,,,,,,
105.9,1.97,6.05,420.33,343.98,,,,,,,,,,,,
106.1,1.99,6.05,449.66,345.6,,,,,,,,,,,,
106.3,1.98,6.05,430.11,344.79,,,,,,,,,,,,
106.5,1.98,6.05,459.43,344.79,,,,,,,,,,,,
106.7,1.99,6.05,420.33,345.6,,,,,,,,,,,,
106.9,1.98,6.05,430.11,344.79,,,,,,,,,,,,
107.1,1.98,6.05,400.78,344.79,,,,,,,,,,,,
107.3,1.99,6.05,420.33,345.6,,,,,,,,,,,,
107.5,1.99,6.05,410.56,345.6,,,,,,,,,,,,
107.7,1.99,6.05,420.33,345.6,,,,,,,,,,,,
107.9,1.98,6.05,439.88,344.79,,,,,,,,,,,,
108.1,1.99,6.16,430.11,342.55,,,,,,,,,,,,
108.3,1.98,6.16,420.33,341.75,,,,,,,,,,,,
108.5,1.99,6.16,420.33,342.55,,,,,,,,,,,,
108.7,1.98,6.16,430.11,341.75,,,,,,,,,,,,
108.9,1.98,6.16,420.33,341.75,,,,,,,,,,,,
109.1,1.98,6.16,439.88,341.75,,,,,,,,,,,,
109.3,1.98,6.16,430.11,341.75,,,,,,,,,,,,
109.5,1.99,6.16,420.33,342.55,,,,,,,,,,,,
109.7,1.98,6.16,449.66,341.75,,,,,,,,,,,,
109.9,1.99,6.16,420.33,342.55,,,,,,,,,,,,
110.1,1.98,6.16,459.43,341.75,,,,,,,,,,,,
110.3,1.99,6.16,459.43,342.55,,,,,,,,,,,,
110.5,1.99,6.16,459.43,342.55,,,,,,,,,,,,
110.7,1.99,6.16,430.11,342.55,,,,,,,,,,,,
110.9,1.98,6.16,420.33,341.75,,,,,,,,,,,,
111.1,1.99,6.16,439.88,342.55,,,,,,,,,,,,
111.3,1.99,6.16,430.11,342.55,,,,,,,,,,,,
111.5,1.98,6.16,439.88,341.75,,,,,,,,,,,,
111.7,1.98,6.16,449.66,341.75,,,,,,,,,,,,
111.9,1.99,6.16,449.66,342.55,,,,,,,,,,,,
112.1,1.98,6.16,439.88,341.75,,,,,,,,,,,,
112.3,1.99,6.16,449.66,342.55,,,,,,,,,,,,
112.5,1.98,6.16,430.11,341.75,,,,,,,,,,,,
112.7,1.98,6.16,449.66,341.75,,,,,,,,,,,,
112.9,1.99,6.16,430.11,342.55,,,,,,,,,,,,
113.1,1.97,6.16,430.11,340.95,,,,,,,,,,,,
113.3,1.99,6.16,400.78,342.55,,,,,,,,,,,,
113.5,1.98,6.16,420.33,341.75,,,,,,,,,,,,
113.7,1.98,6.16,400.78,341.75,,,,,,,,,,,,
113.9,1.98,6.16,410.56,341.75,,,,,,,,,,,,
114.1,1.99,6.16,420.33,342.55,,,,,,,,,,,,
114.3,1.98,6.16,410.56,341.75,,,,,,,,,,,,
114.5,1.99,6.16,400.78,342.55,,,,,,,,,,,,
114.7,1.99,6.16,410.56,342.55,,,,,,,,,,,,
114.9,1.99,6.16,420.33,342.55,,,,,,,,,,,,
115.1,1.98,6.16,410.56,341.75,,,,,,,,,,,,
115.3,2,6.16,420.33,343.35,,,,,,,,,,,,
115.5,1.97,6.16,420.33,340.95,,,,,,,,,,,,
115.7,1.99,6.16,391.01,342.55,,,,,,,,,,,,
115.9,1.98,6.16,420.33,341.75,,,,,,,,,,,,
116.1,1.98,6.16,420.33,341.75,,,,,,,,,,,,
116.3,1.98,6.16,410.56,341.75,,,,,,,,,,,,
116.5,1.98,6.16,439.88,341.75,,,,,,,,,,,,
116.7,1.99,6.16,430.11,342.55,,,,,,,,,,,,
116.9,1.97,6.16,459.43,340.95,,,,,,,,,,,,
117.1,1.99,6.16,430.11,342.55,,,,,,,,,,,,
117.3,1.98,6.16,430.11,341.75,,,,,,,,,,,,
117.5,1.98,6.16,420.33,341.75,,,,,,,,,,,,
117.7,1.98,6.16,420.33,341.75,,,,,,,,,,,,
117.9,1.98,6.16,400.78,341.75,,,,,,,,,,,,
118.1,1.98,6.16,439.88,341.75,,,,,,,,,,,,
118.3,1.99,6.16,430.11,342.55,,,,,,,,,,,,
118.5,1.99,6.16,430.11,342.55,,,,,,,,,,,,
118.7,1.99,6.27,400.78,339.59,,,,,,,,,,,,
118.9,1.97,6.27,420.33,337.99,,,,,,,,,,,,
119.1,1.99,6.27,430.11,339.59,,,,,,,,,,,,
119.3,1.98,6.27,430.11,338.79,,,,,,,,,,,,
119.5,1.99,6.27,410.56,339.59,,,,,,,,,,,,
119.7,1.99,6.27,420.33,339.59,,,,,,,,,,,,
119.9,1.99,6.27,430.11,339.59,,,,,,,,,,,,
120.1,1.98,6.27,430.11,338.79,,,,,,,,,,,,
120.3,1.98,6.27,400.78,338.79,,,,,,,,,,,,
120.5,1.97,6.27,410.56,337.99,,,,,,,,,,,,
120.7,1.99,6.27,400.78,339.59,,,,,,,,,,,,
120.9,1.98,6.27,420.33,338.79,,,,,,,,,,,,
121.1,1.98,6.27,410.56,338.79,,,,,,,,,,,,
121.3,1.98,6.27,430.11,338.79,,,,,,,,,,,,
121.5,1.99,6.27,410.56,339.59,,,,,,,,,,,,
121.7,1.97,6.27,391.01,337.99,,,,,,,,,,,,
121.9,1.99,6.27,400.78,339.59,,,,,,,,,,,,
122.1,1.99,6.27,400.78,339.59,,,,,,,,,,,,
122.3,1.99,6.27,400.78,339.59,,,,,,,,,,,,
122.5,1.98,6.27,391.01,338.79,,,,,,,,,,,,
122.7,1.99,6.27,400.78,339.59,,,,,,,,,,,,
122.9,1.98,6.27,391.01,338.79,,,,,,,,,,,,
123.1,1.99,6.27,391.01,339.59,,,,,,,,,,,,
123.3,1.98,6.27,410.56,338.79,,,,,,,,,,,,
123.5,1.99,6.27,400.78,339.59,,,,,,,,,,,,
123.7,1.98,6.27,410.56,338.79,,,,,,,,,,,,
123.9,1.98,6.27,400.78,338.79,,,,,,,,,,,,
124.1,1.97,6.27,420.33,337.99,,,,,,,,,,,,
124.3,1.99,6.27,400.78,339.59,,,,,,,,,,,,
124.5,1.98,6.27,410.56,338.79,,,,,,,,,,,,
124.7,1.98,6.27,400.78,338.79,,,,,,,,,,,,
124.9,1.98,6.27,410.56,338.79,,,,,,,,,,,,
125.1,1.99,6.27,400.78,339.59,,,,,,,,,,,,
125.3,1.98,6.27,391.01,338.79,,,,,,,,,,,,
125.5,1.98,6.27,410.56,338.79,,,,,,,,,,,,
125.7,1.98,6.27,391.01,338.79,,,,,,,,,,,,
125.9,1.98,6.27,400.78,338.79,,,,,,,,,,,,
126.1,1.98,6.27,400.78,338.79,,,,,,,,,,,,
126.3,1.99,6.27,400.78,339.59,,,,,,,,,,,,
126.5,1.98,6.27,410.56,338.79,,,,,,,,,,,,
126.7,1.98,6.27,410.56,338.79,,,,,,,,,,,,
126.9,1.99,6.27,400.78,339.59,,,,,,,,,,,,
127.1,1.99,6.27,420.33,339.59,,,,,,,,,,,,
127.3,1.98,6.27,400.78,338.79,,,,,,,,,,,,
127.5,1.98,6.27,420.33,338.79,,,,,,,,,,,,
127.7,1.98,6.27,430.11,338.79,,,,,,,,,,,,
127.9,1.98,6.27,430.11,338.79,,,,,,,,,,,,
128.1,1.98,6.27,391.01,338.79,,,,,,,,,,,,
128.3,1.99,6.27,410.56,339.59,,,,,,,,,,,,
128.5,1.99,6.27,391.01,339.59,,,,,,,,,,,,
128.7,1.98,6.27,381.23,338.79,,,,,,,,,,,,
128.9,1.99,6.27,391.01,339.59,,,,,,,,,,,,
129.1,1.98,6.27,381.23,338.79,,,,,,,,,,,,
129.3,1.99,6.27,361.68,339.59,,,,,,,,,,,,
129.5,1.97,6.27,391.01,337.99,,,,,,,,,,,,
129.7,1.99,6.27,391.01,339.59,,,,,,,,,,,,
129.9,1.97,6.27,410.56,337.99,,,,,,,,,,,,
130.1,1.99,6.27,381.23,339.59,,,,,,,,,,,,
130.3,1.98,6.27,420.33,338.79,,,,,,,,,,,,
130.5,1.99,6.27,420.33,339.59,,,,,,,,,,,,
130.7,1.97,6.27,410.56,337.99,,,,,,,,,,,,
130.9,1.99,6.27,391.01,339.59,,,,,,,,,,,,
131.1,1.99,6.27,430.11,339.59,,,,,,,,,,,,
131.3,1.99,6.27,420.33,339.59,,,,,,,,,,,,
131.5,1.97,6.27,439.88,337.99,,,,,,,,,,,,
131.7,1.99,6.27,430.11,339.59,,,,,,,,,,,,
131.9,1.98,6.27,439.88,338.79,,,,,,,,,,,,
132.1,1.98,6.27,420.33,338.79,,,,,,,,,,,,
132.3,1.98,6.27,430.11,338.79,,,,,,,,,,,,
132.5,1.98,6.27,430.11,338.79,,,,,,,,,,,,
132.7,1.99,6.27,410.56,339.59,,,,,,,,,,,,
132.9,1.99,6.27,420.33,339.59,,,,,,,,,,,,
133.1,1.99,6.27,410.56,339.59,,,,,,,,,,,,
133.3,1.98,6.27,410.56,338.79,,,,,,,,,,,,
133.5,1.99,6.27,400.78,339.59,,,,,,,,,,,,
133.7,1.99,6.27,420.33,339.59,,,,,,,,,,,,
133.9,1.98,6.27,410.56,338.79,,,,,,,,,,,,
134.1,1.98,6.27,391.01,338.79,,,,,,,,,,,,
134.3,1.98,6.27,381.23,338.79,,,,,,,,,,,,
134.5,1.97,6.27,391.01,337.99,,,,,,,,,,,,
134.7,1.99,6.27,381.23,339.59,,,,,,,,,,,,
134.9,1.98,6.27,391.01,338.79,,,,,,,,,,,,
135.1,1.99,6.27,371.46,339.59,,,,,,,,,,,,
135.3,1.98,6.27,391.01,338.79,,,,,,,,,,,,
135.5,1.99,6.27,381.23,339.59,,,,,,,,,,,,
135.7,1.97,6.27,391.01,337.99,,,,,,,,,,,,
135.9,1.99,6.27,391.01,339.59,,,,,,,,,,,,
136.1,1.99,6.27,371.46,339.59,,,,,,,,,,,,
136.3,1.98,6.27,391.01,338.79,,,,,,,,,,,,
136.5,1.98,6.27,391.01,338.79,,,,,,,,,,,,
136.7,1.98,6.27,400.78,338.79,,,,,,,,,,,,
136.9,1.98,6.27,410.56,338.79,,,,,,,,,,,,
137.1,1.99,6.27,420.33,339.59,,,,,,,,,,,,
137.3,1.98,6.27,410.56,338.79,,,,,,,,,,,,
137.5,1.99,6.27,410.56,339.59,,,,,,,,,,,,
137.7,1.99,6.27,400.78,339.59,,,,,,,,,,,,
137.9,1.98,6.27,420.33,338.79,,,,,,,,,,,,
138.1,1.98,6.27,391.01,338.79,,,,,,,,,,,,
138.3,1.97,6.27,410.56,337.99,,,,,,,,,,,,
138.5,1.99,6.27,381.23,339.59,,,,,,,,,,,,
138.7,1.99,6.27,400.78,339.59,,,,,,,,,,,,
138.9,1.99,6.27,371.46,339.59,,,,,,,,,,,,
139.1,1.98,6.27,381.23,338.79,,,,,,,,,,,,
139.3,1.99,6.27,371.46,339.59,,,,,,,,,,,,
139.5,1.99,6.27,391.01,339.59,,,,,,,,,,,,
139.7,1.99,6.27,381.23,339.59,,,,,,,,,,,,
139.9,1.99,6.27,381.23,339.59,,,,,,,,,,,,
140.1,2,6.27,361.68,340.38,,,,,,,,,,,,
140.3,1.97,6.27,391.01,337.99,,,,,,,,,,,,
140.5,1.98,6.27,342.13,338.79,,,,,,,,,,,,
140.7,1.99,6.27,381.23,339.59,,,,,,,,,,,,
140.9,1.99,6.27,381.23,339.59,,,,,,,,,,,,
141.1,1.99,6.27,391.01,339.59,,,,,,,,,,,,
141.3,1.98,6.27,400.78,338.79,,,,,,,,,,,,
141.5,1.98,6.27,420.33,338.79,,,,,,,,,,,,
141.7,1.99,6.27,391.01,339.59,,,,,,,,,,,,
141.9,1.98,6.27,410.56,338.79,,,,,,,,,,,,
142.1,1.98,6.27,391.01,338.79,,,,,,,,,,,,
142.3,1.98,6.27,400.78,338.79,,,,,,,,,,,,
142.5,1.98,6.27,391.01,338.79,,,,,,,,,,,,
142.7,1.98,6.27,400.78,338.79,,,,,,,,,,,,
142.9,1.98,6.27,400.78,338.79,,,,,,,,,,,,
143.1,1.99,6.27,381.23,339.59,,,,,,,,,,,,
143.3,1.99,6.27,371.46,339.59,,,,,,,,,,,,
143.5,1.99,6.27,391.01,339.59,,,,,,,,,,,,
143.7,1.99,6.27,391.01,339.59,,,,,,,,,,,,
143.9,1.98,6.27,400.78,338.79,,,,,,,,,,,,
144.1,1.99,6.27,391.01,339.59,,,,,,,,,,,,
144.3,1.98,6.27,400.78,338.79,,,,,,,,,,,,
144.5,1.97,6.27,400.78,337.99,,,,,,,,,,,,
144.7,1.98,6.27,391.01,338.79,,,,,,,,,,,,
144.9,2,6.27,371.46,340.38,,,,,,,,,,,,
145.1,1.99,6.27,381.23,339.59,,,,,,,,,,,,
145.3,1.99,6.27,371.46,339.59,,,,,,,,,,,,
145.5,1.99,6.27,381.23,339.59,,,,,,,,,,,,
145.7,1.98,6.27,371.46,338.79,,,,,,,,,,,,
145.9,1.98,6.27,391.01,338.79,,,,,,,,,,,,
146.1,1.99,6.27,371.46,339.59,,,,,,,,,,,,
146.3,1.99,6.27,400.78,339.59,,,,,,,,,,,,
146.5,1.99,6.27,391.01,339.59,,,,,,,,,,,,
146.7,1.99,6.27,400.78,339.59,,,,,,,,,,,,
146.9,1.99,6.27,400.78,339.59,,,,,,,,,,,,
147.1,1.98,6.27,400.78,338.79,,,,,,,,,,,,
147.3,1.98,6.27,381.23,338.79,,,,,,,,,,,,
147.5,1.98,6.27,381.23,338.79,,,,,,,,,,,,
147.7,1.98,6.27,391.01,338.79,,,,,,,,,,,,
147.9,1.98,6.27,410.56,338.79,,,,,,,,,,,,
148.1,1.98,6.27,391.01,338.79,,,,,,,,,,,,
148.3,1.99,6.27,420.33,339.59,,,,,,,,,,,,
148.5,1.99,6.27,381.23,339.59,,,,,,,,,,,,
148.7,1.97,6.27,381.23,337.99,,,,,,,,,,,,
148.9,1.99,6.27,332.36,339.59,,,,,,,,,,,,
149.1,1.99,6.27,361.68,339.59,,,,,,,,,,,,
149.3,1.99,6.27,351.91,339.59,,,,,,,,,,,,
149.5,1.98,6.27,381.23,338.79,,,,,,,,,,,,
149.7,1.99,6.27,361.68,339.59,,,,,,,,,,,,
149.9,1.98,6.27,391.01,338.79,,,,,,,,,,,,
150.1,1.99,6.27,371.46,339.59,,,,,,,,,,,,
150.3,1.97,6.27,381.23,337.99,,,,,,,,,,,,
150.5,1.98,6.27,361.68,338.79,,,,,,,,,,,,
150.7,1.99,6.27,361.68,339.59,,,,,,,,,,,,
150.9,1.98,6.27,381.23,338.79,,,,,,,,,,,,
151.1,1.98,6.27,371.46,338.79,,,,,,,,,,,,
151.3,1.99,6.27,381.23,339.59,,,,,,,,,,,,
151.5,1.99,6.27,351.91,339.59,,,,,,,,,,,,
151.7,1.99,6.27,361.68,339.59,,,,,,,,,,,,
151.9,1.99,6.27,400.78,339.59,,,,,,,,,,,,
152.1,1.97,6.27,381.23,337.99,,,,,,,,,,,,
152.3,1.99,6.27,361.68,339.59,,,,,,,,,,,,
152.5,1.97,6.27,371.46,337.99,,,,,,,,,,,,
152.7,1.99,6.27,361.68,339.59,,,,,,,,,,,,
152.9,1.98,6.27,381.23,338.79,,,,,,,,,,,,
153.1,1.99,6.27,361.68,339.59,,,,,,,,,,,,
153.3,1.99,6.27,381.23,339.59,,,,,,,,,,,,
153.5,1.99,6.27,361.68,339.59,,,,,,,,,,,,
153.7,1.98,6.27,371.46,338.79,,,,,,,,,,,,
153.9,1.99,6.27,361.68,339.59,,,,,,,,,,,,
154.1,1.99,6.27,381.23,339.59,,,,,,,,,,,,
154.3,1.99,6.27,381.23,339.59,,,,,,,,,,,,
154.5,1.98,6.27,381.23,338.79,,,,,,,,,,,,
154.7,1.98,6.27,381.23,338.79,,,,,,,,,,,,
154.9,1.97,6.27,391.01,337.99,,,,,,,,,,,,
155.1,1.98,6.27,381.23,338.79,,,,,,,,,,,,
155.3,1.98,6.27,400.78,338.79,,,,,,,,,,,,
155.5,1.99,6.27,391.01,339.59,,,,,,,,,,,,
155.7,1.99,6.16,391.01,342.55,,,,,,,,,,,,
155.9,1.99,6.16,400.78,342.55,,,,,,,,,,,,
156.1,1.97,6.16,391.01,340.95,,,,,,,,,,,,
156.3,1.99,6.16,381.23,342.55,,,,,,,,,,,,
156.5,1.99,6.16,371.46,342.55,,,,,,,,,,,,
156.7,1.97,6.16,381.23,340.95,,,,,,,,,,,,
156.9,1.99,6.16,371.46,342.55,,,,,,,,,,,,
157.1,1.98,6.16,381.23,341.75,,,,,,,,,,,,
157.3,1.99,6.16,371.46,342.55,,,,,,,,,,,,
157.5,1.99,6.16,371.46,342.55,,,,,,,,,,,,
157.7,1.98,6.16,381.23,341.75,,,,,,,,,,,,
157.9,1.99,6.16,361.68,342.55,,,,,,,,,,,,
158.1,1.98,6.16,371.46,341.75,,,,,,,,,,,,
158.3,1.98,6.16,371.46,341.75,,,,,,,,,,,,
158.5,1.98,6.16,391.01,341.75,,,,,,,,,,,,
158.7,1.99,6.16,381.23,342.55,,,,,,,,,,,,
158.9,1.99,6.16,400.78,342.55,,,,,,,,,,,,
159.1,1.99,6.16,381.23,342.55,,,,,,,,,,,,
159.3,1.99,6.16,361.68,342.55,,,,,,,,,,,,
159.5,1.99,6.16,381.23,342.55,,,,,,,,,,,,
159.7,1.98,6.16,361.68,341.75,,,,,,,,,,,,
159.9,1.99,6.16,361.68,342.55,,,,,,,,,,,,
160.1,1.98,6.16,342.13,341.75,,,,,,,,,,,,
160.3,1.99,6.16,361.68,342.55,,,,,,,,,,,,
160.5,1.99,6.16,342.13,342.55,,,,,,,,,,,,
160.7,1.98,6.16,371.46,341.75,,,,,,,,,,,,
160.9,1.99,6.16,361.68,342.55,,,,,,,,,,,,
161.1,1.99,6.16,391.01,342.55,,,,,,,,,,,,
161.3,1.99,6.16,361.68,342.55,,,,,,,,,,,,
161.5,1.97,6.16,381.23,340.95,,,,,,,,,,,,
161.7,1.98,6.16,371.46,341.75,,,,,,,,,,,,
161.9,1.98,6.16,371.46,341.75,,,,,,,,,,,,
162.1,1.99,6.16,381.23,342.55,,,,,,,,,,,,
162.3,1.98,6.16,391.01,341.75,,,,,,,,,,,,
162.5,1.98,6.16,391.01,341.75,,,,,,,,,,,,
162.7,1.98,6.16,361.68,341.75,,,,,,,,,,,,
162.9,1.99,6.16,381.23,342.55,,,,,,,,,,,,
163.1,1.98,6.16,400.78,341.75,,,,,,,,,,,,
163.3,1.98,6.16,391.01,341.75,,,,,,,,,,,,
163.5,1.98,6.16,381.23,341.75,,,,,,,,,,,,
163.7,1.97,6.16,400.78,340.95,,,,,,,,,,,,
163.9,1.99,6.16,381.23,342.55,,,,,,,,,,,,
164.1,1.99,6.16,381.23,342.55,,,,,,,,,,,,
164.3,1.98,6.16,391.01,341.75,,,,,,,,,,,,
164.5,1.98,6.16,371.46,341.75,,,,,,,,,,,,
164.7,1.98,6.16,371.46,341.75,,,,,,,,,,,,
164.9,2,6.16,381.23,343.35,,,,,,,,,,,,
165.1,1.99,6.16,400.78,342.55,,,,,,,,,,,,
165.3,1.98,6.16,400.78,341.75,,,,,,,,,,,,
165.5,1.98,6.16,391.01,341.75,,,,,,,,,,,,
165.7,1.99,6.16,400.78,342.55,,,,,,,,,,,,
165.9,1.98,6.16,400.78,341.75,,,,,,,,,,,,
166.1,1.99,6.16,400.78,342.55,,,,,,,,,,,,
166.3,1.98,6.16,391.01,341.75,,,,,,,,,,,,
166.5,1.98,6.16,381.23,341.75,,,,,,,,,,,,
166.7,1.99,6.16,361.68,342.55,,,,,,,,,,,,
166.9,1.99,6.16,391.01,342.55,,,,,,,,,,,,
167.1,1.98,6.16,371.46,341.75,,,,,,,,,,,,
167.3,1.99,6.16,361.68,342.55,,,,,,,,,,,,
167.5,1.99,6.16,381.23,342.55,,,,,,,,,,,,
167.7,1.98,6.16,371.46,341.75,,,,,,,,,,,,
167.9,1.98,6.16,361.68,341.75,,,,,,,,,,,,
168.1,1.99,6.16,351.91,342.55,,,,,,,,,,,,
168.3,1.97,6.16,351.91,340.95,,,,,,,,,,,,
