# material: PETG,,,,,,,,,,,,,,,,
# geometry: oct,,,,,,,,,,,,,,,,
# preform_diameter: 20.0,,,,,,,,,,,,,,,,
# material_color: black,,,,,,,,,,,,,,,,
# temperature_C: 160.0,,,,,,,,,,,,,,,,
# drawdown_ratio: 50.0,,,,,,,,,,,,,,,,
# trial_number: 011,,,,,,,,,,,,,,,,
# operator: Kevin Liu,,,,,,,,,,,,,,,,
# start_time: 2025-07-31 13:48:20,,,,,,,,,,,,,,,,
# notes: PI control system active. Horizontally printed preform 0 deg raster. 010 glitched,,,,,,,,,,,,,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um),,,,,,,,,,,,
22.5,1.99,5.08,381.23,377.24,,,,,,,,,,,,
22.7,1.98,5.08,400.78,376.35,,,,,,,,,,,,
22.9,1.98,5.08,410.56,376.35,,,,,,,,,,,,
23.1,1.98,5.08,400.78,376.35,,,,,,,,,,,,
23.3,1.99,5.08,342.13,377.24,,,,,,,,,,,,
23.5,1.98,5.08,371.46,376.35,,,,,,,,,,,,
23.7,1.99,5.08,361.68,377.24,,,,,,,,,,,,
23.9,1.99,5.08,371.46,377.24,,,,,,,,,,,,
24.1,1.98,5.08,361.68,376.35,,,,,,,,,,,,
24.3,1.98,5.08,371.46,376.35,,,,,,,,,,,,
24.5,1.99,5.08,371.46,377.24,,,,,,,,,,,,
24.7,1.99,5.08,371.46,377.24,,,,,,,,,,,,
24.9,2,5.08,361.68,378.12,,,,,,,,,,,,
25.1,1.98,5.08,381.23,376.35,,,,,,,,,,,,
25.3,1.98,5.08,361.68,376.35,,,,,,,,,,,,
25.5,1.98,5.08,381.23,376.35,,,,,,,,,,,,
25.7,1.98,5.08,371.46,376.35,,,,,,,,,,,,
25.9,1.99,5.08,371.46,377.24,,,,,,,,,,,,
26.1,1.98,5.08,391.01,376.35,,,,,,,,,,,,
26.3,1.99,5.08,351.91,377.24,,,,,,,,,,,,
26.5,1.99,5.08,351.91,377.24,,,,,,,,,,,,
26.7,1.99,5.08,351.91,377.24,,,,,,,,,,,,
26.9,1.98,5.08,361.68,376.35,,,,,,,,,,,,
27.1,1.98,5.08,332.36,376.35,,,,,,,,,,,,
27.3,1.99,5.08,351.91,377.24,,,,,,,,,,,,
27.5,1.99,5.08,351.91,377.24,,,,,,,,,,,,
27.7,1.98,5.08,342.13,376.35,,,,,,,,,,,,
27.9,1.99,5.08,332.36,377.24,,,,,,,,,,,,
28.1,1.99,5.08,342.13,377.24,,,,,,,,,,,,
28.3,1.99,5.08,342.13,377.24,,,,,,,,,,,,
28.5,1.98,5.08,332.36,376.35,,,,,,,,,,,,
28.7,1.98,5.08,322.58,376.35,,,,,,,,,,,,
28.9,1.99,5.08,351.91,377.24,,,,,,,,,,,,
29.1,1.99,5.08,351.91,377.24,,,,,,,,,,,,
29.3,1.98,5.08,371.46,376.35,,,,,,,,,,,,
29.5,1.99,5.08,371.46,377.24,,,,,,,,,,,,
29.7,1.98,5.08,371.46,376.35,,,,,,,,,,,,
29.9,1.99,5.08,361.68,377.24,,,,,,,,,,,,
30.1,1.98,5.08,371.46,376.35,,,,,,,,,,,,
30.3,1.99,5.08,342.13,377.24,,,,,,,,,,,,
30.5,1.99,5.08,342.13,377.24,,,,,,,,,,,,
30.7,1.99,5.08,312.81,377.24,,,,,,,,,,,,
30.9,1.98,5.08,332.36,376.35,,,,,,,,,,,,
31.1,1.99,5.08,312.81,377.24,,,,,,,,,,,,
31.3,1.97,5.08,351.91,375.47,,,,,,,,,,,,
31.5,1.99,5.08,322.58,377.24,,,,,,,,,,,,
31.7,1.99,5.08,332.36,377.24,,,,,,,,,,,,
31.9,1.99,5.08,322.58,377.24,,,,,,,,,,,,
32.1,1.99,4.97,332.36,381.32,,,,,,,,,,,,
32.3,1.99,4.97,332.36,381.32,,,,,,,,,,,,
32.5,1.99,4.97,361.68,381.32,,,,,,,,,,,,
32.7,1.98,4.97,371.46,380.42,,,,,,,,,,,,
32.9,1.98,4.97,498.53,380.42,,,,,,,,,,,,
33.1,1.98,4.97,703.81,380.42,,,,,,,,,,,,
33.3,1.98,4.97,527.86,380.42,,,,,,,,,,,,
33.5,1.99,4.97,420.33,381.32,,,,,,,,,,,,
33.7,1.98,4.97,410.56,380.42,,,,,,,,,,,,
33.9,1.98,4.97,391.01,380.42,,,,,,,,,,,,
34.1,1.97,4.97,400.78,379.53,,,,,,,,,,,,
34.3,1.98,4.97,391.01,380.42,,,,,,,,,,,,
34.5,1.98,4.97,391.01,380.42,,,,,,,,,,,,
34.7,1.99,4.97,371.46,381.32,,,,,,,,,,,,
34.9,1.98,4.97,400.78,380.42,,,,,,,,,,,,
35.1,1.98,4.97,400.78,380.42,,,,,,,,,,,,
35.3,1.98,4.97,410.56,380.42,,,,,,,,,,,,
35.5,1.99,4.97,391.01,381.32,,,,,,,,,,,,
35.7,1.97,4.97,410.56,379.53,,,,,,,,,,,,
35.9,1.98,4.97,391.01,380.42,,,,,,,,,,,,
36.1,1.98,4.97,391.01,380.42,,,,,,,,,,,,
36.3,1.99,4.97,381.23,381.32,,,,,,,,,,,,
36.5,1.98,4.97,400.78,380.42,,,,,,,,,,,,
36.7,1.99,4.97,391.01,381.32,,,,,,,,,,,,
36.9,1.97,4.97,400.78,379.53,,,,,,,,,,,,
37.1,1.99,4.97,400.78,381.32,,,,,,,,,,,,
37.3,1.97,4.97,430.11,379.53,,,,,,,,,,,,
37.5,1.99,4.97,410.56,381.32,,,,,,,,,,,,
37.7,1.98,4.97,420.33,380.42,,,,,,,,,,,,
37.9,1.99,4.97,400.78,381.32,,,,,,,,,,,,
38.1,1.98,4.97,400.78,380.42,,,,,,,,,,,,
38.3,1.98,4.97,391.01,380.42,,,,,,,,,,,,
38.5,1.98,4.97,420.33,380.42,,,,,,,,,,,,
38.7,1.99,4.97,391.01,381.32,,,,,,,,,,,,
38.9,1.98,4.97,400.78,380.42,,,,,,,,,,,,
39.1,1.99,4.97,410.56,381.32,,,,,,,,,,,,
39.3,1.99,4.97,400.78,381.32,,,,,,,,,,,,
39.5,1.99,4.97,420.33,381.32,,,,,,,,,,,,
39.7,1.99,4.97,391.01,381.32,,,,,,,,,,,,
39.9,1.98,4.97,410.56,380.42,,,,,,,,,,,,
40.1,1.99,4.97,410.56,381.32,,,,,,,,,,,,
40.3,1.99,4.97,410.56,381.32,,,,,,,,,,,,
40.5,1.99,4.97,391.01,381.32,,,,,,,,,,,,
40.7,1.99,4.97,410.56,381.32,,,,,,,,,,,,
40.9,1.99,4.97,391.01,381.32,,,,,,,,,,,,
41.1,1.99,4.97,410.56,381.32,,,,,,,,,,,,
41.3,1.98,4.97,410.56,380.42,,,,,,,,,,,,
41.5,1.98,4.97,420.33,380.42,,,,,,,,,,,,
41.7,1.99,4.97,391.01,381.32,,,,,,,,,,,,
41.9,1.98,4.97,420.33,380.42,,,,,,,,,,,,
42.1,1.99,4.97,391.01,381.32,,,,,,,,,,,,
42.3,1.98,4.97,410.56,380.42,,,,,,,,,,,,
42.5,1.99,4.97,400.78,381.32,,,,,,,,,,,,
42.7,1.98,4.97,420.33,380.42,,,,,,,,,,,,
42.9,1.99,4.97,391.01,381.32,,,,,,,,,,,,
43.1,1.97,4.97,400.78,379.53,,,,,,,,,,,,
43.3,1.99,4.97,391.01,381.32,,,,,,,,,,,,
43.5,1.97,4.97,381.23,379.53,,,,,,,,,,,,
43.7,1.99,4.97,361.68,381.32,,,,,,,,,,,,
43.9,1.97,4.97,410.56,379.53,,,,,,,,,,,,
44.1,1.99,4.97,391.01,381.32,,,,,,,,,,,,
44.3,1.97,4.97,410.56,379.53,,,,,,,,,,,,
44.5,1.98,4.97,391.01,380.42,,,,,,,,,,,,
44.7,1.98,4.97,400.78,380.42,,,,,,,,,,,,
44.9,1.99,4.97,391.01,381.32,,,,,,,,,,,,
45.1,1.98,4.97,400.78,380.42,,,,,,,,,,,,
45.3,1.98,4.97,420.33,380.42,,,,,,,,,,,,
45.5,1.97,4.97,400.78,379.53,,,,,,,,,,,,
45.7,1.99,4.97,381.23,381.32,,,,,,,,,,,,
45.9,1.98,4.97,381.23,380.42,,,,,,,,,,,,
46.1,1.98,4.97,381.23,380.42,,,,,,,,,,,,
46.3,1.98,4.97,381.23,380.42,,,,,,,,,,,,
46.5,1.99,4.97,381.23,381.32,,,,,,,,,,,,
46.7,1.98,4.97,381.23,380.42,,,,,,,,,,,,
46.9,1.97,4.97,381.23,379.53,,,,,,,,,,,,
47.1,1.98,4.97,391.01,380.42,,,,,,,,,,,,
47.3,1.98,4.97,410.56,380.42,,,,,,,,,,,,
47.5,1.98,4.97,410.56,380.42,,,,,,,,,,,,
47.7,1.98,4.97,508.31,380.42,,,,,,,,,,,,
47.9,1.98,4.97,664.71,380.42,,,,,,,,,,,,
48.1,1.97,4.97,615.84,379.53,,,,,,,,,,,,
48.3,1.98,4.97,527.86,380.42,,,,,,,,,,,,
48.5,1.99,4.97,488.76,381.32,,,,,,,,,,,,
48.7,1.98,4.97,469.21,380.42,,,,,,,,,,,,
48.9,1.98,4.97,478.98,380.42,,,,,,,,,,,,
49.1,1.99,4.97,449.66,381.32,,,,,,,,,,,,
49.3,1.98,4.97,469.21,380.42,,,,,,,,,,,,
49.5,1.98,4.97,449.66,380.42,,,,,,,,,,,,
49.7,1.98,4.97,449.66,380.42,,,,,,,,,,,,
49.9,1.98,4.97,459.43,380.42,,,,,,,,,,,,
50.1,1.98,4.97,478.98,380.42,,,,,,,,,,,,
50.3,1.99,4.97,508.31,381.32,,,,,,,,,,,,
50.5,1.99,4.97,518.08,381.32,,,,,,,,,,,,
50.7,1.99,4.97,478.98,381.32,,,,,,,,,,,,
50.9,1.98,4.97,488.76,380.42,,,,,,,,,,,,
51.1,1.98,4.97,459.43,380.42,,,,,,,,,,,,
51.3,1.98,4.97,478.98,380.42,,,,,,,,,,,,
51.5,1.98,4.97,478.98,380.42,,,,,,,,,,,,
